gene,predictor_set,R2_insample,R2_oof
LPL,rna_others,0.8822098050607656,0.7452046795446551
CACNG4,rna_others,0.8056384999589686,0.5732150715819904
SLC7A2,rna_others,0.8167636489323894,0.6276153007020637
ADAMTS12,rna_others,0.9499685527191185,0.8865352829961538
MDFIC,rna_others,0.8789113937880787,0.7201605026898936
SLC2A10,rna_others,0.8509075593428324,0.6670435824281825
ZNF83,rna_others,0.8374183386194561,0.6644831176802892
RGS5,rna_others,0.8188011775006613,0.6456051292856752
MAPK3,rna_others,0.895438413148266,0.7543599140424886
CST7,rna_others,0.9081232751697133,0.8069031851233908
CLEC2B,rna_others,0.9286243120529167,0.8452377707546702
TUBB2A,rna_others,0.7376503420777049,0.43427453650781944
SNHG9,rna_others,0.7557318723825042,0.5179344092225949
MFAP5,rna_others,0.8971835549407503,0.7756196831957037
C17orf58,rna_others,0.8310188918282403,0.6573164934554434
ALDH3B2,rna_others,0.7857665321141077,0.5424860465031842
GOLPH3L,rna_others,0.8951993062980572,0.767346202742757
KRT23,rna_others,0.8247703267001648,0.6375209106266232
BNIP3L,rna_others,0.8847506832499139,0.7480042829512696
CCND2,rna_others,0.8388449437755785,0.58873605179541
COX7A1,rna_others,0.8568049551791381,0.6973820722661549
SELL,rna_others,0.8822237905024245,0.7544176684464688
SHC1,rna_others,0.8908068052337428,0.7642689477350352
DSP,rna_others,0.7509059655311421,0.46498763701001755
PTPRC,rna_others,0.9792154017824712,0.9542105886838692
TRAM1,rna_others,0.9075847554880433,0.7947679002701729
SEMA3C,rna_others,0.849944116890565,0.6545232038450973
STAC2,rna_others,0.8850469435714798,0.7480877484631238
RARRES2,rna_others,0.9152764162099013,0.8057512005747051
CPA3,rna_others,0.8194162342461446,0.6410217448644149
GIT1,rna_others,0.812955815454188,0.5927641680726803
NPEPPS,rna_others,0.8752163617103685,0.732404976199168
RSAD1,rna_others,0.8148233335491346,0.5964361534291984
ELOVL2,rna_others,0.8037416335915449,0.5908437490769779
SEC62,rna_others,0.907103865408892,0.7983124955885685
PRR15L,rna_others,0.8643284738249367,0.6996198496473602
COTL1,rna_others,0.8888512893811824,0.7453475774810694
OLR1,rna_others,0.8387037343108249,0.6663785125492598
SLAMF7,rna_others,0.9051105839232189,0.8051754330850646
RAB4A,rna_others,0.8473063799965773,0.673346571330055
CD55,rna_others,0.82355046035901,0.5922531013405766
VANGL2,rna_others,0.8267182071807873,0.6404340604674588
DHX9,rna_others,0.9649284567649893,0.9260603382934472
NDUFS2,rna_others,0.8600222566452393,0.6955760866534346
CLDN4,rna_others,0.8814036465908491,0.7475974056312124
TBC1D20,rna_others,0.837095614057856,0.6489414211602909
SEZ6L2,rna_others,0.6747065404338937,0.3413988887794517
NET1,rna_others,0.6869707264603188,0.3497497785894138
LAPTM4B,rna_others,0.7953037799725595,0.5872306331316373
ELF3,rna_others,0.8409589962472969,0.6622991937835712
MAPRE1,rna_others,0.8962586746187646,0.7698676852054342
LYPLA1,rna_others,0.8593969671828681,0.7139343128576532
MUC1,rna_others,0.8439531297989186,0.6644920371644887
ACLY,rna_others,0.884885869126883,0.7512834639959654
AEBP1,rna_others,0.966616262393677,0.9209336286986392
CALD1,rna_others,0.9488176593058064,0.8804321900328135
SDCBP,rna_others,0.8470458843684804,0.6681794674638579
RPRD2,rna_others,0.9444617322343677,0.8787353285747018
ELMO3,rna_others,0.8555988731169437,0.6755365685752998
SERPINB9,rna_others,0.893460894484751,0.7608799774645891
RARA,rna_others,0.9135672883183162,0.8128850673274649
KCTD3,rna_others,0.9043873513943812,0.7997249842372262
ABCC11,rna_others,0.78796512248563,0.5693556680736571
MAGEF1,rna_others,0.8246313662957054,0.6065637972617242
PI4KB,rna_others,0.9268386692391865,0.8311988356808145
PPP2R5A,rna_others,0.8752319283600395,0.714688605394065
GOLT1A,rna_others,0.7552369976968214,0.47854616869502853
SOX9,rna_others,0.8051872309171306,0.5795939597479921
NME3,rna_others,0.9325964525198538,0.8531101348242142
CTHRC1,rna_others,0.9176138734410846,0.8156806402307409
CD4,rna_others,0.9619588607603101,0.9194843049109991
GCC1,rna_others,0.9101945213472619,0.8086688262643282
ANKH,rna_others,0.819639713896644,0.5833553736090388
CTF1,rna_others,0.7493867907745249,0.45617871968125945
PXMP4,rna_others,0.7309410494021787,0.42749004017505443
VWF,rna_others,0.9255707183116292,0.8425971283828437
CRNKL1,rna_others,0.9002223260151118,0.7863633900967582
WFDC2,rna_others,0.7435584346705524,0.46183334576257173
KDELR2,rna_others,0.8255175566191459,0.6279101378646441
PRR14,rna_others,0.9006323824133352,0.7787997039221083
C1orf116,rna_others,0.7648221699013803,0.540474711990258
GMFG,rna_others,0.9688619728307777,0.9350813536016633
SLC2A4RG,rna_others,0.888597669318833,0.7618512929487506
RSL1D1,rna_others,0.8650346407965364,0.7012386409285019
STC1,rna_others,0.6782448962046408,0.3889629686106417
S100A4,rna_others,0.886848038954905,0.7117396875520549
ZNF880,rna_others,0.6065720137802695,0.18921539178124902
CREG1,rna_others,0.8119915940072291,0.5829180275353689
CD40,rna_others,0.883155583962269,0.7360466006642625
PRKAR1A,rna_others,0.925396570521731,0.8413732788015258
S100A6,rna_others,0.8457869929707841,0.643309716692069
ECH1,rna_others,0.8505015797232776,0.6518580234762921
GRAMD1A,rna_others,0.8956229506224846,0.7735895074965109
RHOD,rna_others,0.8515690687854969,0.6417914869237242
FCER1A,rna_others,0.8071759572965996,0.6143781076761679
SCGB3A1,rna_others,0.711803154317296,0.42736503619516264
