model,repeat,fold,metric,value
B1_pam50_centroid,1,0,weighted_f1,0.8623732896010283
B1_pam50_centroid,1,1,weighted_f1,0.8959206061165278
B1_pam50_centroid,1,2,weighted_f1,0.8620448776317778
B1_pam50_centroid,1,3,weighted_f1,0.8353022741369476
B1_pam50_centroid,1,4,weighted_f1,0.8934134725627502
B1_pam50_centroid,2,0,weighted_f1,0.8614537605046664
B1_pam50_centroid,2,1,weighted_f1,0.8662729816307313
B1_pam50_centroid,2,2,weighted_f1,0.9359160775318007
B1_pam50_centroid,2,3,weighted_f1,0.8524978151466104
B1_pam50_centroid,2,4,weighted_f1,0.8654983379596117
B1_pam50_centroid,3,0,weighted_f1,0.8920644257538715
B1_pam50_centroid,3,1,weighted_f1,0.8727504494377631
B1_pam50_centroid,3,2,weighted_f1,0.8747870777640214
B1_pam50_centroid,3,3,weighted_f1,0.8563722901708668
B1_pam50_centroid,3,4,weighted_f1,0.8804231482802911
B1_pam50_centroid,4,0,weighted_f1,0.8635711532052917
B1_pam50_centroid,4,1,weighted_f1,0.87264176382499
B1_pam50_centroid,4,2,weighted_f1,0.8662671432815648
B1_pam50_centroid,4,3,weighted_f1,0.879048439170437
B1_pam50_centroid,4,4,weighted_f1,0.9033723788032599
B2_elasticnet_logreg,0,0,weighted_f1,0.9176690520902063
B2_elasticnet_logreg,0,1,weighted_f1,0.9095263590580237
B2_elasticnet_logreg,0,2,weighted_f1,0.9038598592454633
B2_elasticnet_logreg,0,3,weighted_f1,0.9458282298661936
B2_elasticnet_logreg,0,4,weighted_f1,0.9301302986041399
B2_elasticnet_logreg,1,0,weighted_f1,0.9242032554602716
B2_elasticnet_logreg,1,1,weighted_f1,0.8916609609245117
B2_elasticnet_logreg,1,2,weighted_f1,0.914861563410637
B2_elasticnet_logreg,1,3,weighted_f1,0.8932973902985898
B2_elasticnet_logreg,1,4,weighted_f1,0.9028242658548353
B2_elasticnet_logreg,2,0,weighted_f1,0.9207193786051897
B2_elasticnet_logreg,2,1,weighted_f1,0.909342827022417
B2_elasticnet_logreg,2,2,weighted_f1,0.9506314435827878
B2_elasticnet_logreg,2,3,weighted_f1,0.9079369975853319
B2_elasticnet_logreg,2,4,weighted_f1,0.8885728560561924
B2_elasticnet_logreg,3,0,weighted_f1,0.8880767437533209
B2_elasticnet_logreg,3,1,weighted_f1,0.9100791344554708
B2_elasticnet_logreg,3,2,weighted_f1,0.8925418843451631
B2_elasticnet_logreg,3,3,weighted_f1,0.9150492448751797
B2_elasticnet_logreg,3,4,weighted_f1,0.9518150116652421
B2_elasticnet_logreg,4,0,weighted_f1,0.9300825024687828
B2_elasticnet_logreg,4,1,weighted_f1,0.9149213919258843
B2_elasticnet_logreg,4,2,weighted_f1,0.919551969603671
B2_elasticnet_logreg,4,3,weighted_f1,0.9137439525330521
B2_elasticnet_logreg,4,4,weighted_f1,0.9402567357454577
B3_linear_svm,0,0,weighted_f1,0.9064812695282313
B3_linear_svm,0,1,weighted_f1,0.9124876924583063
B3_linear_svm,0,2,weighted_f1,0.9236394091846415
B3_linear_svm,0,3,weighted_f1,0.8827356763929364
B3_linear_svm,0,4,weighted_f1,0.9125321790962184
B3_linear_svm,1,0,weighted_f1,0.8901771674995719
B3_linear_svm,1,1,weighted_f1,0.8791955382795335
B3_linear_svm,1,2,weighted_f1,0.9081770560631647
B3_linear_svm,1,3,weighted_f1,0.8860160261354064
B3_linear_svm,1,4,weighted_f1,0.8757323359116302
B3_linear_svm,2,0,weighted_f1,0.907951719644472
B3_linear_svm,2,1,weighted_f1,0.880959905049107
B3_linear_svm,2,2,weighted_f1,0.8874515712509927
B3_linear_svm,2,3,weighted_f1,0.906285983182246
B3_linear_svm,2,4,weighted_f1,0.8804835444691131
B3_linear_svm,3,0,weighted_f1,0.8699411570015553
B3_linear_svm,3,1,weighted_f1,0.9283903915920235
B3_linear_svm,3,2,weighted_f1,0.8783888689740815
B3_linear_svm,3,3,weighted_f1,0.8919010757309921
B3_linear_svm,3,4,weighted_f1,0.9284733124018838
B3_linear_svm,4,0,weighted_f1,0.9017208026444672
B3_linear_svm,4,1,weighted_f1,0.902148793299617
B3_linear_svm,4,2,weighted_f1,0.9015696779247886
B3_linear_svm,4,3,weighted_f1,0.9099512114162682
B3_linear_svm,4,4,weighted_f1,0.9168852397419031
B4_random_forest,0,0,weighted_f1,0.9215074992476847
B4_random_forest,0,1,weighted_f1,0.9442476054072069
B4_random_forest,0,2,weighted_f1,0.945902001710368
B4_random_forest,0,3,weighted_f1,0.9227694529062703
B4_random_forest,0,4,weighted_f1,0.9507210950285179
B4_random_forest,1,0,weighted_f1,0.928645072438166
B4_random_forest,1,1,weighted_f1,0.910276767659723
B4_random_forest,1,2,weighted_f1,0.9055907513759273
B4_random_forest,1,3,weighted_f1,0.9437214223979237
B4_random_forest,1,4,weighted_f1,0.9165305766290988
B4_random_forest,2,0,weighted_f1,0.945771444299096
B4_random_forest,2,1,weighted_f1,0.9110369278294831
B4_random_forest,2,2,weighted_f1,0.9383068336453046
B4_random_forest,2,3,weighted_f1,0.9333604880757755
B4_random_forest,2,4,weighted_f1,0.9342826653540343
B4_random_forest,3,0,weighted_f1,0.9165390479127055
B4_random_forest,3,1,weighted_f1,0.9392340483675378
B4_random_forest,3,2,weighted_f1,0.900411937788987
B4_random_forest,3,3,weighted_f1,0.9335965318972725
B4_random_forest,3,4,weighted_f1,0.9448577779005971
B4_random_forest,4,0,weighted_f1,0.9338925104733067
B4_random_forest,4,1,weighted_f1,0.9114424662996253
B4_random_forest,4,2,weighted_f1,0.9198216346856148
B4_random_forest,4,3,weighted_f1,0.9279509972957415
B4_random_forest,4,4,weighted_f1,0.9614597097942768
B5_xgboost,0,0,weighted_f1,0.9272405421100874
B5_xgboost,0,1,weighted_f1,0.929357051505639
B5_xgboost,0,2,weighted_f1,0.946705479711265
B5_xgboost,0,3,weighted_f1,0.9402956098632473
B5_xgboost,0,4,weighted_f1,0.9352584678170233
B5_xgboost,1,0,weighted_f1,0.9180778209044738
B5_xgboost,1,1,weighted_f1,0.9332492643968054
B5_xgboost,1,2,weighted_f1,0.9402956236179818
B5_xgboost,1,3,weighted_f1,0.9336566439645767
B5_xgboost,1,4,weighted_f1,0.9512480835789107
B5_xgboost,2,0,weighted_f1,0.9198189410339843
B5_xgboost,2,1,weighted_f1,0.9176684881602915
B5_xgboost,2,2,weighted_f1,0.9502560593334447
