model,metric,mean,std,n,ci95_lo,ci95_hi,nb_ci95_lo,nb_ci95_hi
B4_random_forest,mcc,0.8914078765527568,0.023968954180103644,25,0.881513978541548,0.9013017745639655,0.864767740865087,0.9180480122404265
B4_random_forest,f1__BRCA_Basal,0.990686337989299,0.011858744074750937,25,0.9857912890215803,0.9955813869570176,0.9775060152742197,1.0038666607043782
B4_random_forest,precision__BRCA_Basal,0.9952228163992871,0.011173096441989726,25,0.9906107888641763,0.9998348439343979,0.9828045522134803,1.007641080585094
B4_random_forest,recall__BRCA_Basal,0.9864393939393941,0.02004491269681553,25,0.9781652606428107,0.9947135272359774,0.9641606082202437,1.0087181796585443
B4_random_forest,f1__BRCA_Her2,0.8969818155930505,0.050179074924800456,25,0.8762689114808263,0.9176947197052746,0.8412106144537,0.9527530167324009
B4_random_forest,precision__BRCA_Her2,0.9590311355311356,0.051942934046055794,25,0.9375901461582569,0.9804721249040144,0.9012995048306498,1.0167627662316214
B4_random_forest,recall__BRCA_Her2,0.8478333333333333,0.08031081115820515,25,0.8146826598068134,0.8809840068598532,0.7585724131294231,0.9370942535372435
B4_random_forest,f1__BRCA_LumA,0.9469214741696801,0.013777283927399804,25,0.9412344908734999,0.9526084574658603,0.9316088030170042,0.962234145322356
B4_random_forest,precision__BRCA_LumA,0.9280973930319837,0.026546405716008314,25,0.917139575317251,0.9390552107467164,0.8985925658717969,0.9576022201921705
B4_random_forest,recall__BRCA_LumA,0.9670833333333333,0.01299650505014785,25,0.961718639717495,0.9724480269491715,0.9526384537027975,0.981528212963869
B4_random_forest,f1__BRCA_LumB,0.8487297297345624,0.03986519596089309,25,0.8322741856140211,0.8651852738551037,0.8044218211944683,0.8930376382746565
B4_random_forest,precision__BRCA_LumB,0.8768559923455941,0.04953616565173487,25,0.8564084681381574,0.8973035165530308,0.8217993484681347,0.9319126362230534
B4_random_forest,recall__BRCA_LumB,0.8266936572199729,0.06772521595362749,25,0.798738062061445,0.8546492523785008,0.7514209136148711,0.9019664008250747
B4_random_forest,roc_auc_macro,0.9910342943348627,0.0026511166575061964,25,0.9899399671636356,0.9921286215060897,0.9880877282498712,0.9939808604198541
B4_random_forest,pr_auc_macro,0.9729304386391686,0.008285985691702372,25,0.9695101518490137,0.9763507254293236,0.9637210346128438,0.9821398426654935
B4_random_forest,roc_auc__BRCA_Basal,0.999534595959596,0.0009464741969646376,25,0.9991439106128494,0.9999252813063427,0.9984826434696144,1.0005865484495777
B4_random_forest,pr_auc__BRCA_Basal,0.9984069801357035,0.0031882111602800187,25,0.9970909512501298,0.9997230090212772,0.9948634639158216,1.0019504963555854
B4_random_forest,roc_auc__BRCA_Her2,0.9976449957228399,0.0017783617183930803,25,0.9969109240843108,0.998379067361369,0.9956684473459785,0.9996215440997014
B4_random_forest,pr_auc__BRCA_Her2,0.9757578792831694,0.019922688735694683,25,0.9675341975580968,0.983981561008242,0.9536149385777013,0.9979008199886374
B4_random_forest,roc_auc__BRCA_LumA,0.9885286075470018,0.004339137121511604,25,0.9867374997742429,0.9903197153197607,0.9837059022751786,0.9933513128188249
B4_random_forest,pr_auc__BRCA_LumA,0.9895615703578785,0.003967390239805123,25,0.9879239121560084,0.9911992285597486,0.9851520407004652,0.9939711000152918
