,d_rna,d_cnv,d_methy
PITX2,-0.0046787336,0.09859988,-0.09392086
PLAT,-0.03942883,0.16445732,-0.12502816
PLAU,-0.034926146,0.13557059,-0.10064453
PLK1,-0.010380626,0.08404055,-0.07365987
PPM1D,-0.055248395,0.21178445,-0.1565359
PRC1,-0.012026146,0.108879596,-0.09685376
PTEN,0.006522104,0.06336397,-0.06988594
PTTG1,0.007235527,0.06857616,-0.075811684
RACGAP1,-0.0045334846,0.104207695,-0.099674284
RAD51,0.013220236,0.05205661,-0.06527686
RASSF1,-0.013730824,0.05222857,-0.038497537
RASSF7,-0.011438951,0.09225714,-0.080818206
RB1,0.02215147,-0.0015397668,-0.020611405
RBBP8,-0.022168517,0.07728416,-0.05511543
RFC4,-0.040336862,0.18040037,-0.14006361
RRM2,-0.038349643,0.14681265,-0.108463064
RSF1,-0.028725743,0.17675593,-0.14803016
RSPO2,-0.030832373,0.16234508,-0.13151294
RUNDC1,0.0016252548,0.061647505,-0.06327286
RUNX1,-0.026885435,0.16411343,-0.13722827
SCG5,0.0018087924,0.038819462,-0.040628195
SCUBE2,-0.005744785,0.08447713,-0.07873234
SEC14L2,-0.003106147,0.06760028,-0.064494014
SERPINB5,-0.026866004,0.06743714,-0.040570945
SERPINE1,-0.016550288,0.12107524,-0.10452536
SFRP1,-0.06994878,0.16911379,-0.09916487
SFRP2,-0.012058377,0.09346095,-0.08140269
SIAH2,-0.04060696,0.18755952,-0.14695302
SLC2A3,-0.046343967,0.15853146,-0.112187594
SLC39A6,-0.007029161,0.06504449,-0.058015496
SMAD3,-0.015805393,0.0776428,-0.061837494
SMAD4,0.0021107495,0.05120331,-0.053313926
SNAI2,-0.037010387,0.19463918,-0.15762904
STC2,-0.014836013,0.110984385,-0.09614831
TBX3,-0.016547069,0.088199526,-0.07165262
TFF3,-0.047246948,0.1766372,-0.12939039
TGFB1,-0.027500942,0.13157102,-0.1040701
TMEM45B,-0.002368182,0.028345436,-0.025977224
TOP2A,-0.018058062,0.12931615,-0.11125815
TP53,0.003775388,-0.0031092465,-0.0006661117
TPX2,-0.00745444,0.16005364,-0.15259925
TSPAN14,-0.024193272,0.12250891,-0.098315656
TWIST1,-0.024706975,0.10426852,-0.07956171
TYMS,-0.016503185,0.08450627,-0.068003386
UBE2C,-0.018334389,0.15654561,-0.13821164
UBE2T,-0.0053248852,0.07099831,-0.06567347
VEGFA,-0.04051408,0.17595294,-0.13543898
WIF1,-0.037609637,0.17335665,-0.13574716
XRCC4,0.008790612,0.06736156,-0.076152146
ZEB1,-0.032921076,0.15199545,-0.11907452
ZEB2,-0.014818475,0.11653426,-0.101715654
ZNF703,-0.03719054,0.171384,-0.1341936
FMOD,-0.01954548,0.086648524,-0.067103
AGR3,-0.026815861,0.10165474,-0.074838996
NDUFS6,-0.028308012,0.14046153,-0.11215359
COL1A2,-0.019653335,0.11262414,-0.09297106
MARCKS,-0.0069842786,0.1149213,-0.1079371
VIM,-0.031945914,0.17381972,-0.14187369
A2M,-0.038411736,0.16820446,-0.12979254
ECM1,-0.007813349,0.101085186,-0.09327188
SLPI,-0.047269568,0.16765022,-0.12038076
ELN,-0.023286775,0.14053604,-0.11724919
CTSS,-0.009886712,0.092944175,-0.08305749
APOD,-0.046957716,0.1932272,-0.14626929
PABPC1,-0.024643958,0.1437929,-0.11914891
CPXM1,-0.020566136,0.09955874,-0.078992575
PIP,-0.025817916,0.10492092,-0.07910311
RGS1,-0.013263106,0.08157796,-0.06831485
HOXB2,-0.038220122,0.16500947,-0.1267893
MT1E,-0.013174474,0.13409102,-0.12091604
TRPS1,-0.039649814,0.15318549,-0.11353564
TSPYL5,-0.02492775,0.17168254,-0.14675456
NID1,0.005565077,0.06634441,-0.07190961
WASL,-0.018523872,0.12431428,-0.10578999
COL14A1,-0.058309898,0.14364022,-0.08533031
TP53INP1,-0.027194113,0.16055596,-0.13336211
ENPP2,-0.044615,0.14038631,-0.09577149
SYNGR2,-0.03329052,0.13323674,-0.09994587
C1orf115,-0.015329003,0.088786155,-0.07345748
PLTP,-0.032506853,0.17166486,-0.13915822
PRRX1,-0.0024518669,0.07427636,-0.0718244
LRP5,-0.03173518,0.15884858,-0.12711349
S100A16,-0.021246314,0.0964137,-0.07516739
IFI16,0.0013685673,0.06945613,-0.07082501
CHAD,-0.040876284,0.15444505,-0.113568425
EIF3K,-0.031181872,0.1798568,-0.14867502
IGFBP4,-0.0384174,0.1262078,-0.08779046
TPD52,-0.04628344,0.19372547,-0.14744207
ANXA9,-0.014288485,0.094817996,-0.08052981
FABP4,-0.061769426,0.18876684,-0.12699771
KRT19,-0.021294102,0.0716683,-0.05037433
PLEKHF2,-0.026694909,0.16298583,-0.13629094
GIMAP4,-0.0158014,0.10062343,-0.08482218
RAB25,-0.0030250996,0.07477853,-0.07175359
FXYD5,-0.029022083,0.1807253,-0.15170297
RGS2,-0.012345821,0.06762895,-0.05528298
KAT2A,-0.009474248,0.06513476,-0.055660635
PLOD2,-0.042245,0.16530588,-0.12306112
FSCN1,-0.0014492497,0.100957096,-0.09950799
SQLE,-0.023149356,0.16328448,-0.1401352
GIMAP7,-0.020161062,0.10840532,-0.08824429
CD163,-0.03267248,0.18609658,-0.15342414
CX3CL1,-0.030776277,0.14927661,-0.1185005
CLEC11A,-0.030688673,0.12041366,-0.08972472
MRPL36,-0.026141152,0.14190125,-0.11576009
AKR1B1,-0.01994221,0.12104425,-0.10110173
CST1,-0.029389098,0.11842635,-0.08903736
EPHX2,0.019715264,-0.003374815,-0.016340315
RAB34,-0.025834545,0.15727386,-0.13143912
C6orf62,-0.029242456,0.14235431,-0.11311185
CHI3L1,-0.0034756213,0.057005644,-0.053530246
LGALS3BP,-0.029569075,0.14739886,-0.11782989
PYCARD,-0.025224522,0.12774396,-0.10251933
GRHL2,-0.026287183,0.15303275,-0.1267457
ATP6V1B2,0.015517011,-0.019813985,0.0042969882
LXN,-0.027639747,0.1807327,-0.15309274
ZHX1,-0.02803576,0.15186653,-0.123830855
CLSTN2,-0.027032524,0.17375603,-0.14672384
QSOX1,-0.0031001866,0.08661997,-0.0835197
LAMB3,-0.011983305,0.06879532,-0.05681202
PTN,-0.023934498,0.12248409,-0.09854972
S100A9,-0.0075956136,0.07845047,-0.070854604
