patient_id,burden_universe,burden_genome,cluster,PC1
TCGA-E9-A1RD,0.9607390300230947,0.9418767507002801,B,4.568853752978092
TCGA-E9-A1RF,0.7990762124711316,0.7699579831932774,B,5.464546018274046
TCGA-E9-A1RI,0.22401847575057737,0.20897525676937442,A,-3.035847885489577
TCGA-E9-A227,0.17782909930715934,0.06891923436041084,A,-5.694732362909387
TCGA-E9-A245,0.15011547344110854,0.04896125116713352,A,-4.08237528949363
TCGA-E9-A24A,0.2956120092378753,0.15511204481792717,A,-4.057909093417267
TCGA-E9-A295,0.8452655889145496,0.7512838468720822,B,6.79559995519638
TCGA-E9-A3Q9,0.12240184757505773,0.04861111111111111,A,-3.7953398645132426
TCGA-E9-A3X8,0.9699769053117783,0.9587418300653595,B,7.660090535911835
TCGA-E9-A5FK,0.3810623556581986,0.22076330532212884,A,-3.2632814516298594
TCGA-E9-A5UP,0.47344110854503463,0.2540266106442577,A,-0.9272447223689216
TCGA-EW-A1IW,0.9191685912240185,0.8475723622782446,B,7.72143296389785
TCGA-EW-A1IX,0.9722863741339491,0.9477707749766573,B,6.982512604518771
TCGA-EW-A1J1,0.8891454965357968,0.8410947712418301,B,9.626488149678144
TCGA-EW-A1J2,0.21478060046189376,0.1676003734827264,A,-2.813829450627774
TCGA-EW-A1J5,0.4064665127020785,0.2109593837535014,A,-1.7512034376815941
TCGA-EW-A1P6,0.18244803695150116,0.1465919701213819,A,-4.65997005124587
TCGA-EW-A1PE,0.9653579676674365,0.9630602240896359,B,5.913195284159354
TCGA-EW-A1PF,0.2471131639722864,0.2850723622782446,A,-6.067724684662387
TCGA-EW-A1PG,0.0,0.0,A,-5.311660167193718
TCGA-EW-A3E8,0.9515011547344111,0.9077380952380952,B,6.781342115390771
TCGA-GI-A2C8,0.76905311778291,0.6530695611577965,B,4.464851459672352
TCGA-GM-A2D9,0.3464203233256351,0.22438141923436042,A,-3.0000444084315445
TCGA-GM-A2DC,0.6351039260969977,0.47584033613445376,A,0.59442297048122
TCGA-GM-A2DI,0.03233256351039261,0.026552287581699346,A,-5.849399009489897
TCGA-GM-A2DK,0.25635103926096997,0.27258403361344535,A,-5.526044770229957
TCGA-GM-A2DM,0.0023094688221709007,0.006069094304388422,A,-5.117621657544234
TCGA-GM-A3NW,0.9399538106235565,0.9367997198879552,B,8.68786452514813
TCGA-GM-A3NY,0.21709006928406466,0.15814659197012138,A,-2.8050732019410893
TCGA-GM-A3XG,0.0,0.0,A,-5.48271176129319
TCGA-GM-A3XN,0.3556581986143187,0.2686157796451914,A,-2.7707448447927923
TCGA-GM-A4E0,0.24249422632794457,0.22041316526610644,A,-5.15380679934306
TCGA-GM-A5PV,0.04849884526558892,0.03192110177404295,A,-5.583424372452573
TCGA-GM-A5PX,0.21016166281755197,0.11805555555555555,A,-2.583390784310852
TCGA-HN-A2OB,0.19861431870669746,0.09809757236227824,A,-3.590782216901895
TCGA-LD-A66U,0.4064665127020785,0.2914915966386555,A,-2.115743532998602
TCGA-LD-A74U,0.815242494226328,0.8530578898225957,B,5.915004762580867
TCGA-LD-A7W5,0.28868360277136257,0.2948762838468721,A,-5.744857460082596
