modality,gene,smd_B_minus_A,mwu_p,abs_smd,fdr
cnv,CHI3L1,1.2435989494039545,1.220491399690552e-34,1.2435989494039545,4.273364766032418e-34
cnv,CYB5R1,1.2435989494039545,1.220491399690552e-34,1.2435989494039545,4.273364766032418e-34
cnv,C1orf116,1.2429369894661269,3.466811262914409e-35,1.2429369894661269,1.2676810838736474e-34
cnv,CD55,1.242504262445506,3.377763188325149e-35,1.242504262445506,1.2429785783666766e-34
cnv,MUC1,1.2414579758578743,1.9180862439858671e-34,1.2414579758578743,6.591518600364131e-34
cnv,DSP,1.2404260256793815,1.7189878872241525e-52,1.2404260256793815,1.3058276406457158e-51
cnv,CD9,1.2402258300435252,8.785868019501501e-60,1.2402258300435252,1.8709577962840083e-58
cnv,MIA,1.234473191003969,1.238898935855356e-63,1.234473191003969,1.7881441307512305e-61
cnv,GMFG,1.2288297741703555,2.4204464731608824e-63,1.2288297741703555,2.8583272442145333e-61
cnv,ELOVL2,1.2276219414487666,3.616652143008386e-52,1.2276219414487666,2.6393433335774684e-51
cnv,RTP4,1.2272994113900624,1.0238099343877967e-59,1.2272994113900624,2.0593660278863445e-58
cnv,SEC62,1.2250875212037347,6.193282098152088e-58,1.2250875212037347,9.577468387499478e-57
cnv,GPR160,1.2250875212037347,6.193282098152088e-58,1.2250875212037347,9.577468387499478e-57
cnv,SLAMF7,1.2192598325746076,1.407252643302434e-34,1.2192598325746076,4.900861082171211e-34
cnv,FLT1,1.218843863709805,4.829756774385019e-37,1.218843863709805,2.0369656006253702e-36
cnv,CDKN2A,1.2165995899653717,4.965223348115697e-43,1.2165995899653717,2.8665889463121287e-42
cnv,CDK4,1.215738400874545,2.6889265873083134e-64,1.215738400874545,8.732289092283748e-62
cnv,S100A10,1.2143043156444413,3.4741683283989103e-35,1.2143043156444413,1.2676810838736474e-34
cnv,EFNA4,1.2129151295632492,1.9180862439858671e-34,1.2129151295632492,6.591518600364131e-34
cnv,SHC1,1.2123676400370722,1.9180862439858671e-34,1.2123676400370722,6.591518600364131e-34
cnv,ALDH1A3,1.2074585425486835,8.658753949627489e-48,1.2074585425486835,5.381684871084263e-47
cnv,RB1,1.2027755829402242,6.92398662337626e-29,1.2027755829402242,2.1313409061056306e-28
cnv,CCND2,1.2003650287798546,8.034733758609069e-60,1.2003650287798546,1.7995033021436518e-58
cnv,CD40,1.1953866801792803,3.9937110360182654e-58,1.1953866801792803,6.404729179984847e-57
cnv,MGP,1.1943387080103656,1.173735226711601e-56,1.1943387080103656,1.588210478644135e-55
cnv,WIF1,1.1912690267013948,2.088852534324703e-64,1.1912690267013948,8.732289092283748e-62
