gene,null,rho_pred
RARRES1,permute_graph,-0.20990964532350967
ID4,permute_graph,-0.1752766858249915
CCND2,permute_graph,-0.18955218824045245
TWIST1,permute_graph,-0.18682233396944836
CCND1,permute_graph,-0.3433162174614555
MDM2,permute_graph,-0.306485766597944
AURKA,permute_graph,-0.19011643090994648
PPM1D,permute_graph,-0.17528923109188213
FGF3,permute_graph,-0.5583152639588168
FGF19,permute_graph,-0.409164357794811
KRT19,permute_graph,-0.35234011553211253
MAL2,permute_graph,-0.283316394313782
CA12,permute_graph,-0.471337762448946
PITX2,permute_graph,-0.27678118581750916
PIP,permute_graph,-0.7248235328344642
ARID1B,permute_graph,-0.1976589520823652
RSAD1,permute_graph,-0.45804020198261436
COL1A1,permute_graph,-0.12408335830066267
BIRC5,permute_graph,-0.25372044095160995
ERBB2,permute_graph,-0.4732151276124003
CHEK2,permute_graph,-0.17787459316485604
ZNF83,permute_graph,-0.38666003326430665
ACTR3B,permute_graph,-0.38702207546131556
STC2,permute_graph,-0.5991469231227408
GIT1,permute_graph,-0.2260518863055974
NDRG1,permute_graph,-0.4379498856764385
LAMB3,permute_graph,-0.2127066537521749
AKT2,permute_graph,-0.36797154198348364
ALDH3B2,permute_graph,-0.6915157982219057
TGFB1,permute_graph,-0.257182201950731
STC1,permute_graph,-0.475556077994283
FSCN1,permute_graph,-0.18336381998554716
KCTD3,permute_graph,-0.1605468964443356
F12,permute_graph,-0.23641842516964615
SMAD4,permute_graph,-0.17676190010501575
PPP1R2,permute_graph,-0.23554364975110895
S100A4,permute_graph,-0.16564485793103947
LMO1,permute_graph,-0.4372123704467387
PRRX1,permute_graph,-0.07920119524162571
ETV3,permute_graph,-0.09690908792606585
IL17RB,permute_graph,-0.3193073441863232
SND1,permute_graph,-0.348815332919407
MIA,permute_graph,-0.4136657540306751
CCNB2,permute_graph,-0.09019426045149706
RGS2,permute_graph,-0.16423698165004966
ERBB3,permute_graph,-0.3444841097993811
GABRP,permute_graph,-0.1777668512961987
SERPINB9,permute_graph,-0.15611014532966588
RPRD2,permute_graph,-0.1370166626959719
CAPN8,permute_graph,-0.5510223201835208
FMOD,permute_graph,-0.5267395168621656
CHAD,permute_graph,-0.7331723468432624
NME3,permute_graph,-0.11937843324715679
ANLN,permute_graph,-0.17844237805352026
ESR1,permute_graph,-0.49623144740642844
MDFIC,permute_graph,-0.1443997849394181
BNIPL,permute_graph,-0.5685587114277146
RAB25,permute_graph,-0.3263932169106042
SQLE,permute_graph,-0.14929451279168204
ISM1,permute_graph,-0.1620194178465198
RASSF1,shuffle_methy_patients,-0.20638132051238248
SCGB3A1,shuffle_methy_patients,-0.31621500492930443
CDKN2A,shuffle_methy_patients,-0.2014530893667142
PYCARD,shuffle_methy_patients,-0.3656720648814808
APC,shuffle_methy_patients,-0.08920628227506916
GSTP1,shuffle_methy_patients,-0.35206116740641064
SFRP1,shuffle_methy_patients,-0.1189028931090554
SFRP2,shuffle_methy_patients,-0.09830663279499263
SFRP4,shuffle_methy_patients,-0.14291442306795557
