gene,methyl_diff_BmA,cohens_d,mwu_p,fdr_bh,direction
AKT2,-0.16659285313960634,-0.19277407789453394,0.04736062378165351,0.2771236499656212,hypo_in_B
SCNN1A,-0.14100833118200828,-0.18958318570150098,0.049108667250513195,0.28352070559296283,hypo_in_B
LY96,-0.19404062778340436,-0.20502620204433844,0.05176066252388282,0.29469869656239345,hypo_in_B
CFH,-0.19384847471300343,-0.21023207271098102,0.052406003776684286,0.29469869656239345,hypo_in_B
CDH3,0.20501023639225613,0.21638804567858955,0.053350075967578264,0.29616131915335114,hyper_in_B
SKAP1,-0.1822694340293884,-0.21941441093579406,0.054085899973434104,0.29644550238603756,hypo_in_B
MFAP5,-0.16022378667311774,-0.17749069993120867,0.055582970183012316,0.30084282611555413,hypo_in_B
MDM4,-0.22531287568701716,-0.28968898469645404,0.05742487005416346,0.3024854649906884,hypo_in_B
KCNK1,0.22647456717810827,0.20707087684891518,0.057736733840071164,0.3024854649906884,hyper_in_B
NET1,-0.25118150354040797,-0.23028695006307542,0.05836468575946329,0.3024854649906884,hypo_in_B
LMOD1,0.20060137463317956,0.21540212497051872,0.058680783046692435,0.3024854649906884,hyper_in_B
EGLN1,-0.17759963362363806,-0.18807628954489033,0.0607702411961704,0.3095707580934327,hypo_in_B
CEP55,-0.18020400364778577,-0.22752204639128848,0.06359525931477931,0.3121626566995483,hypo_in_B
NPEPPS,-0.20275736337785477,-0.2514527959390931,0.06530712636951451,0.3121626566995483,hypo_in_B
GIT1,0.1319419756487894,0.1972328279471684,0.06565401980710683,0.3121626566995483,hyper_in_B
GAPDH,0.16886814059074107,0.18595856781644202,0.0658280353186566,0.3121626566995483,hyper_in_B
TMEM97,0.1962649037126793,0.23458208694856314,0.06635236403029618,0.3121626566995483,hyper_in_B
APOD,-0.21763621218209328,-0.24038915090754193,0.06670382416126543,0.3121626566995483,hypo_in_B
ZNF83,0.20663468821809408,0.21758716156407504,0.06741134384937351,0.3121626566995483,hyper_in_B
AR,-0.2904960978090308,-0.3213219583494491,0.06758918539897336,0.3121626566995483,hypo_in_B
RARRES2,0.22733917208731247,0.23802189293697545,0.06776741277080263,0.3121626566995483,hyper_in_B
FGFR2,0.24234987613797365,0.31061398263899304,0.06957103570412233,0.31544252437537973,hyper_in_B
PPP1R1B,0.17634812701369507,0.20718520699589027,0.06993644882225508,0.31544252437537973,hyper_in_B
CX3CL1,0.1606176671263144,0.20479460857142093,0.0731064783500715,0.3263412899544429,hyper_in_B
EZH2,-0.22561123790306634,-0.21032211908786394,0.07778100175999086,0.3307623855649543,hypo_in_B
NRN1,0.1295728257873791,0.20705107597307407,0.0779809376963109,0.3307623855649543,hyper_in_B
MELK,-0.17306047189764506,-0.2877899879930557,0.07878486999944326,0.3307623855649543,hypo_in_B
SMAD4,-0.2157905311879521,-0.21692431564105574,0.07898690317884298,0.3307623855649543,hypo_in_B
NME4,-0.05015645942375827,-0.051588063925914085,0.07939223381257389,0.3307623855649543,hypo_in_B
GPR18,-0.12164653383573087,-0.14974968557522356,0.08000339934650758,0.3307623855649543,hypo_in_B
RGS5,-0.18689912717993726,-0.2207470016622108,0.0802079687859589,0.3307623855649543,hypo_in_B
MCM2,-0.06732759856962507,-0.07589515757751918,0.0802079687859589,0.3307623855649543,hypo_in_B
TRAM1,-0.16737113118492333,-0.20651018056795215,0.08103050033766301,0.3310019494925291,hypo_in_B
COX7A1,0.20989303268197607,0.2100587331955791,0.08698171560942787,0.35199142858768473,hyper_in_B
PLAU,0.20034500445924164,0.23005588972905294,0.0909904005936086,0.3622827255810127,hyper_in_B
DNMT3B,-0.15738899749452445,-0.21372913117208675,0.09258890728464879,0.3622827255810127,hypo_in_B
PTTG1,-0.1710878557326332,-0.1865563927464137,0.09351241549982407,0.3622827255810127,hypo_in_B
CBFB,-0.14535302001117764,-0.1828144938657576,0.09374444344478593,0.3622827255810127,hypo_in_B
PRR14,0.14377007852104043,0.15228101372534886,0.09397693292778693,0.3622827255810127,hyper_in_B
IGFBP3,0.15108403294318087,0.19200896808976292,0.0949115180497013,0.3622827255810127,hyper_in_B
MMP9,0.15050118510285382,0.17087730680679028,0.09538159518761073,0.3622827255810127,hyper_in_B
FAM107B,-0.12907981643370778,-0.16529335239129922,0.10043076495829333,0.3724020077090732,hypo_in_B
MAPK3,-0.1959230250267996,-0.208119754445264,0.1006764167496385,0.3724020077090732,hypo_in_B
RTP4,-0.14420198311675853,-0.1651540680642485,0.10141624608463849,0.3724020077090732,hypo_in_B
MDFIC,-0.18563275971167958,-0.19937583394590333,0.10265890996670968,0.3724020077090732,hypo_in_B
TWIST1,0.14300731851304976,0.1659016996616769,0.10265890996670968,0.3724020077090732,hyper_in_B
PLOD2,-0.16408768860814263,-0.17118343000889144,0.10366173665733774,0.3724020077090732,hypo_in_B
ANXA9,-0.13867661751436783,-0.1879030123966378,0.10492620078639014,0.3724020077090732,hypo_in_B
MTDH,-0.19917637844456632,-0.19647943828175407,0.10492620078639014,0.3724020077090732,hypo_in_B
CLDN4,-0.21806083327411357,-0.2561011801578211,0.10801088309691775,0.38023343399158854,hypo_in_B
CLSTN2,-0.15632656875651593,-0.18725243651728554,0.11169992867664255,0.39004894449182437,hypo_in_B
EFNA4,-0.13861479056760606,-0.15513152085728613,0.11576204366361642,0.3978171817963961,hypo_in_B
QSOX1,0.14780646896280294,0.15764158109448148,0.11576204366361642,0.3978171817963961,hyper_in_B
BRD4,-0.19918110959176846,-0.20973538612945455,0.11909460961982234,0.40604697610537854,hypo_in_B
CENPA,-0.147625957597906,-0.14845574043028234,0.12050517770632835,0.4076464214596889,hypo_in_B
DNMT3A,-0.14576184479206994,-0.1817025058256737,0.12510699595687924,0.41993278487851715,hypo_in_B
TPX2,-0.16284302693653618,-0.1623525294373715,0.12657281839479567,0.42158484896112713,hypo_in_B
AGR3,-0.15221756619092738,-0.20630244647080923,0.1316567833816295,0.43287659567226033,hypo_in_B
CAPN8,-0.10133501490423857,-0.1315018312947661,0.13226515782142315,0.43287659567226033,hypo_in_B
PDK4,-0.09138587595941267,-0.1042652109132375,0.13348843737756358,0.43287659567226033,hypo_in_B
CD9,0.08034262919267746,0.10655028347465678,0.13502982644724335,0.43287659567226033,hyper_in_B
FXYD5,0.1914525058478987,0.2110335138259315,0.13565021934321964,0.43287659567226033,hyper_in_B
PLAT,0.1697602312629636,0.1894843443741496,0.13596124021114875,0.43287659567226033,hyper_in_B
CACNG4,-0.11928558531252256,-0.13244277831497597,0.1391018049755328,0.43964293105405616,hypo_in_B
VEZF1,-0.1627568332167311,-0.20458468242342462,0.14101278096577805,0.44245314607378183,hypo_in_B
ENPP2,0.1686895302471038,0.23035713925477821,0.14359206191129484,0.4473047683999329,hyper_in_B
EGFR,0.14436703231485865,0.14316587596499786,0.14719745975096488,0.4552607148011985,hyper_in_B
CDH1,-0.18716577896170364,-0.2198434410804004,0.14919299874491623,0.4581600599755229,hypo_in_B
BUB1B,-0.20539046311969897,-0.2105537243031251,0.15392948687414074,0.4693765339190348,hypo_in_B
WFDC2,0.007220963973069455,0.007092674595868106,0.15703418752606937,0.47533647804477963,hyper_in_B
SFRP2,0.11632291546115228,0.1550928473919303,0.15807956775623155,0.47533647804477963,hyper_in_B
NDUFS2,0.1395990071022169,0.15340331326047343,0.16267052271535742,0.4856246788182653,hyper_in_B
CCNE2,-0.13321225617203783,-0.1366599681779268,0.163744118031101,0.4856246788182653,hypo_in_B
MT2A,-0.12746840476008106,-0.15330460824964287,0.16554529711755916,0.48762662348233415,hypo_in_B
WASL,-0.16483716591696373,-0.1797235602458434,0.16772634290546207,0.4907128816085478,hypo_in_B
S100A9,-0.15038270172874932,-0.17608509252321608,0.16992889933312405,0.49152459504561097,hypo_in_B
TIMP2,0.1408470896667936,0.2120785443786255,0.1710382752031281,0.49152459504561097,hyper_in_B
TBC1D20,0.13909888691766384,0.1641666739049307,0.17140926986579041,0.49152459504561097,hyper_in_B
LYPLA1,0.07304868415538288,0.09002521392399486,0.1766666221266323,0.5032674169791566,hyper_in_B
IGFBP5,0.18295091787214118,0.2003159462940886,0.17819057105809255,0.5042209773162003,hyper_in_B
ZEB1,0.11319573901155945,0.13500792252748756,0.18010923846128823,0.5042209773162003,hyper_in_B
