gene,meandiff_BmA,cohens_d,mwu_p,fdr_bh,is_cellcycle
GIMAP7,0.09322416564890929,0.11194395544735487,0.3265159623335385,0.7407582435838034,False
GOLPH3L,-0.15234095129387054,-0.17899306395785264,0.33003589031050695,0.7407582435838034,False
NF1,-0.0886168144333737,-0.10210300367944211,0.33417340689713604,0.7407582435838034,False
AEBP1,0.1511156932028313,0.1690961622918115,0.33476719928886445,0.7407582435838034,False
MUC1,-0.09387203434363062,-0.12690371478378826,0.33476719928886445,0.7407582435838034,False
PTPRC,0.09564690243444075,0.10908582212702699,0.3359568224704823,0.7407582435838034,False
ID4,0.10311447775539806,0.12040045945401838,0.3359568224704823,0.7407582435838034,False
MIA,-0.05140734782881978,-0.11358494549737397,0.3385431354389553,0.7407582435838034,False
SLPI,0.06980684246946284,0.08724130580414349,0.3389427681815066,0.7407582435838034,False
CHEK2,-0.05081996933451899,-0.06966005938362511,0.3425483100709613,0.7407582435838034,False
SLAMF7,0.09796820156686985,0.11795952728006492,0.34436024267713095,0.7407582435838034,False
SHC1,-0.010566733002006112,-0.011974215160965829,0.3498326584520606,0.7407582435838034,False
CFH,0.14325122790500358,0.1550751261062018,0.3498326584520606,0.7407582435838034,False
RSL1D1,0.11582600884864531,0.12527419747600577,0.35044409307533375,0.7407582435838034,False
TBC1D20,0.1332858543083702,0.18981669908397314,0.35166899410950603,0.7407582435838034,False
RAB25,-0.0951361525100386,-0.12220862080199202,0.3519756041471892,0.7407582435838034,False
PIP,-0.09997165764408728,-0.12291448315402072,0.35228246029591304,0.7407582435838034,False
NDC80,0.06409954078853142,0.09942999103755193,0.3528965266054668,0.7407582435838034,True
ZNF83,-0.1013241230179833,-0.12045193640673824,0.3528966034421569,0.7407582435838034,False
RGS5,-0.07395080943066212,-0.08391716087644172,0.3541269201428344,0.7407582435838034,False
FGF3,0.0013430070354706475,0.0017294187053089138,0.3560872175973778,0.7412777174022336,False
ADAMTS12,0.1269911027067216,0.13466914800448765,0.36783879135448905,0.7597496662796894,False
PCOLCE,0.15768281094236491,0.16971870826436158,0.3684698150548148,0.7597496662796894,False
FAM107B,-0.09624492597432868,-0.10272431422160114,0.3729058220894229,0.7616425517203779,False
ID1,0.10018661046810073,0.11199098340762002,0.3729058220894229,0.7616425517203779,False
CDK6,0.08513776070516119,0.11049116835246862,0.3764143212217811,0.7651990661456863,False
ECM1,-0.09414230578945078,-0.10559553128019009,0.37865763443101497,0.7655210550809886,False
CACNG4,0.08549001110508264,0.11399035142782855,0.3818765540357818,0.7655210550809886,False
MDFIC,0.16116463721353694,0.16778775307868773,0.3818765540357818,0.7655210550809886,False
SND1,0.13067280998151815,0.1488669729414048,0.38967016888537676,0.7695166699611028,False
COL14A1,0.10435210352404439,0.12743018509654414,0.38967016888537676,0.7695166699611028,False
DNMT3B,0.0647348968959861,0.09152635616215864,0.3903239746250792,0.7695166699611028,False
LY96,0.14929179704433643,0.16406044895672534,0.39097844663150716,0.7695166699611028,False
MT1E,-0.07442720044792717,-0.08768638578498297,0.39557838554426905,0.7715560402732815,False
VEGFA,-0.07187212890877054,-0.08542421437664828,0.39557838554426905,0.7715560402732815,False
MLPH,-0.03802581155091084,-0.08969880874516292,0.40420741445911645,0.7848511679856387,False
PTEN,-0.056604758853978726,-0.07177955304012126,0.40957312607501817,0.7917194803146557,False
XRCC4,0.11626097027148931,0.13857665669842764,0.41227179254979107,0.7933941607735979,False
CD163,0.11178923167152918,0.11837545622726567,0.4143026563392628,0.7937745583845167,False
TFF3,-0.06269473289789945,-0.10519896971690457,0.4266118135143607,0.8034510834145322,False
IGFBP5,0.09333194395508738,0.0993304471528172,0.4266118135143607,0.8034510834145322,False
CDC42SE1,-0.06235624218456802,-0.07344480712746077,0.4328454899041151,0.8034510834145322,False
EGLN1,0.09587017308346435,0.10462658515523716,0.433541323064204,0.8034510834145322,False
GMFG,0.08760166165492211,0.09806209221067914,0.43388950044846575,0.8034510834145322,False
FZD6,0.10500255926976552,0.11579688092490058,0.43773014120194864,0.8034510834145322,False
CLEC11A,0.11486680753509712,0.12088105320736993,0.44123851000064207,0.8034510834145322,False
CST7,0.08213934367879662,0.08781262504026209,0.441942111858572,0.8034510834145322,False
CPXM1,0.1098752935445769,0.10556169312930137,0.4426463554796263,0.8034510834145322,False
FCER1A,-0.06158119490248504,-0.07272051328396825,0.444762932854609,0.8034510834145322,False
ELN,0.09720741976584912,0.12285943151552102,0.44546973945036583,0.8034510834145322,False
SCG5,-0.043061926874232645,-0.04161379043391118,0.448303358791337,0.8034510834145322,False
TGFB1,0.07378173118426923,0.09004059797672864,0.4532867403839942,0.8034510834145322,False
PI4KB,-0.07138619692189985,-0.08779893889369239,0.45686535761872227,0.8034510834145322,False
WFDC2,0.06408617814825857,0.0700258655421989,0.45902012498630795,0.8034510834145322,False
LXN,-0.07177813201362143,-0.08401402076857553,0.459739644238902,0.8034510834145322,False
SFRP2,0.09461412412904108,0.10521924830429104,0.4604597944619814,0.8034510834145322,False
NDRG1,0.09283273736063274,0.1386842574237376,0.4604597944619814,0.8034510834145322,False
THRSP,0.09025741944364557,0.09586971015043207,0.46190198597744636,0.8034510834145322,False
S100A10,0.08098862523929667,0.09634046790773862,0.46334669582664245,0.8034510834145322,False
CBFB,0.11980818906708779,0.1456805001070934,0.46334669582664245,0.8034510834145322,False
GMPS,0.10752812477188084,0.14113838383897923,0.46479388463945637,0.8034510834145322,False
MNDA,0.07789360883798989,0.09071085140305984,0.46479388463945637,0.8034510834145322,False
ANXA9,-0.06532333303502796,-0.11013650582119383,0.4662436555278915,0.8034510834145322,False
RB1,-0.036538440837334235,-0.050005723837582644,0.4698789534088077,0.8034510834145322,False
CD55,0.08756521359424396,0.09020871537941925,0.47060785251929316,0.8034510834145322,False
NCOR1,-0.05284750591304457,-0.06215408691618676,0.47206762800391733,0.8034510834145322,False
RASSF7,-0.08800696893251601,-0.0871867446411882,0.47206762800391733,0.8034510834145322,False
EGFR,0.08078766301492374,0.0893444787320168,0.4731640329577499,0.8034510834145322,False
PRKAR1A,-0.018084483757998843,-0.02264731917024169,0.4764617807544078,0.8058174052465942,False
PABPC1,0.028614881005905757,0.03820330714626361,0.47866723177967574,0.8058174052465942,False
CCND1,0.057658741210408926,0.09161962915632799,0.4801406248351531,0.8058174052465942,False
EFNA4,-0.039675678359405546,-0.04115929784059703,0.4823553426240027,0.8064087388270007,False
VIM,0.10864209758771415,0.11515427159417436,0.48680138774600945,0.810711541900085,False
COPZ2,0.08672507985596123,0.106857603089026,0.4912694827299302,0.8112802051838862,False
CMTM3,0.10803088523831536,0.11604885247672098,0.49201630072685865,0.8112802051838862,False
SEMA3C,0.05639608782960204,0.07537671903246218,0.49276372739806484,0.8112802051838862,False
PLAU,0.08814288611093017,0.09241702252680058,0.5010254328527797,0.8157092808182171,False
BRCA1,0.05723489015584296,0.0725541110521942,0.5029132089480687,0.8157092808182171,False
KRT15,0.054191927479898844,0.056546116845607196,0.5032912965565991,0.8157092808182171,False
SNAI2,0.07602491503214706,0.08483585600997275,0.5040477854668586,0.8157092808182171,False
MRC2,0.10528831798157115,0.11660434579414732,0.5063208469938133,0.8157092808182171,False
SYCP2,0.043496502735255016,0.04869955776333725,0.5078392110810499,0.8157092808182171,False
VANGL2,-0.031226155947182567,-0.03645150467308722,0.5124086013453928,0.8157092808182171,False
CD40,0.10918624278043079,0.1394511437056647,0.5124086013453928,0.8157092808182171,False
FMOD,0.08013320762676329,0.09808909123748749,0.5124086013453928,0.8157092808182171,False
S100A6,0.09994313966139134,0.12771208418933247,0.5239251672781455,0.8298146035823889,False
GIT1,0.02116069010558122,0.025395376684566765,0.525470675585638,0.8298146035823889,False
NID1,0.13307584191502603,0.14181013551030647,0.527018512667799,0.8298146035823889,False
AR,-0.032906844007133396,-0.07001949068258666,0.5289565430432277,0.8298484896294116,False
FGF4,-0.03680297802914197,-0.08201742206443746,0.5315785938984317,0.8309513760217361,False
ESM1,0.07606017804510784,0.07709277741029345,0.544984274394599,0.8399423489748307,False
KRT5,0.03963446852005116,0.045838317205382395,0.5465608028509522,0.8399423489748307,False
RBBP8,-0.1131438395254783,-0.12290705410392816,0.548139554830058,0.8399423489748307,False
FGF19,0.12324357732371964,0.1287038484214815,0.5481807478423392,0.8399423489748307,False
BBC3,0.07651241443304682,0.07932335033010891,0.5520962658253423,0.8399423489748307,False
IL25,-0.1305067815007659,-0.1202620425754174,0.5545693609072098,0.8399423489748307,False
SNRPE,0.08934001759677646,0.09742658085955341,0.5552716992828532,0.8399423489748307,False
CTF1,0.0062418251639877464,0.007034869537687419,0.5592534958506007,0.8399423489748307,False
ZNF880,-0.033412856444665656,-0.037015495684588486,0.5616492077863816,0.8399423489748307,False
RSAD1,0.014520209282549768,0.019052604132043346,0.5632491008978354,0.8399423489748307,False
RASSF1,-0.0059520139121762294,-0.006281142594706212,0.5648511884958436,0.8399423489748307,False
CD93,0.08045456058471945,0.09163926369960834,0.5656530533500057,0.8399423489748307,False
LMO1,0.021133623834989207,0.03563839126863011,0.5665434625404906,0.8399423489748307,False
ZEB2,0.10470484156871884,0.10828805628638315,0.5684638471306791,0.8399423489748307,False
SIAH2,-0.05759234091987553,-0.06417335075859308,0.5712813630317894,0.8399423489748307,False
NUSAP1,0.07095292220440606,0.08069675560392217,0.5720834069398402,0.8399423489748307,False
CLSTN2,-0.028254141770711505,-0.04141272348631604,0.5728943322345854,0.8399423489748307,False
ELF3,0.049932757220994814,0.05759695015052746,0.5728943322345854,0.8399423489748307,False
AZGP1,-0.050262591314590876,-0.08546525445776022,0.5753178302119353,0.8399423489748307,False
KRT19,-0.05765339006340066,-0.06795282154646559,0.5761267382113735,0.8399423489748307,False
CD9,0.10344621736127999,0.13156853907898933,0.580179308069062,0.8410449225768227,False
PIK3CA,0.0652671984467084,0.06922323244131405,0.5826172455000203,0.8410449225768227,False
FGFR2,-0.06178694867819831,-0.08024434218375434,0.5834309524707828,0.8410449225768227,False
FOXC1,0.04385481711464215,0.07565184715078264,0.5846524750476296,0.8410449225768227,False
CCND2,0.07524430489046441,0.091110809286415,0.596932895607529,0.848936889368871,False
ANKH,-0.025281715109022728,-0.029038796175616333,0.5998151567965515,0.848936889368871,False
GATA3,-0.026606488610824708,-0.06591428252868868,0.6006398071063139,0.848936889368871,False
MT2A,-0.10158965825730906,-0.10449017792275221,0.602290642901254,0.848936889368871,False
MFAP5,0.08891808588187351,0.09271154672270862,0.603116826698705,0.848936889368871,False
PTN,0.05015833292742705,0.05241279026685379,0.6039435199677283,0.848936889368871,False
CD44,-0.054883974257127544,-0.06356957327191771,0.6072553707551476,0.848936889368871,False
TYMS,0.046689674375365864,0.0670949812245292,0.6080845413567405,0.848936889368871,True
ZHX1,0.0592455479720578,0.06992127201763898,0.6089143308179945,0.848936889368871,False
COX7A1,0.08010547891876979,0.08886814573493014,0.6097445094543161,0.848936889368871,False
S100A9,0.07400077620376827,0.08956007503164881,0.6122382859034317,0.8496768519108523,False
IGF1R,-0.005900240043073046,-0.008270572862601954,0.6189101414437956,0.853465258742559,False
