tf,target,edge_sign,obs_coexpr
ESR1,IGFBP3,1,-0.39582464250696353
NCOA3,IGFBP3,-1,0.029940442804814216
NCOR1,IGFBP3,-1,-0.17798704633617035
RUNX1,IGFBP3,-1,0.07889597430498865
TP53,IGFBP3,1,-0.0533191009141035
HIF1A,IGFBP3,1,0.22272762496684964
EP300,IGFBP3,1,-0.046268733667462335
MYBL2,IGFBP5,1,0.026862816215671454
PGR,IGFBP5,1,0.10501600817793147
DNMT3A,JUP,1,-0.09834503267946909
DNMT3B,JUP,1,0.233104845257891
ESR1,JUP,1,0.21214395023358124
MYC,JUP,1,-0.19887183871578143
TP53,JUP,1,0.07266318278855277
GATA3,LMO1,1,-0.17256049690544437
MYBL2,LMO1,1,0.17541051814963174
GATA3,LOX,-1,-0.34965712720421166
MYBL2,LOX,1,-0.0020823639437761734
TP53,LOX,1,0.0036075894447969194
HIF1A,LOX,1,0.42112708434516505
PITX2,MAP2K4,1,-0.08726999849939658
E2F1,MCM6,1,0.07678851982947663
AR,MDM2,1,0.06664847394819762
BRCA1,MDM2,1,0.1951316953493366
E2F1,MDM2,-1,0.017724071335400063
ESR1,MDM2,1,0.19182597341152438
MYC,MDM2,1,0.08928649364155823
SMAD3,MDM2,1,0.01813808946959868
SMAD4,MDM2,1,0.02229543560941924
TP53,MDM2,1,0.07474288819753834
HIF1A,MDM2,1,0.004816888872696294
EP300,MDM2,1,0.13830367244624076
TP53,MDM4,1,0.12393393917213225
TP53,MKI67,-1,0.009953271073463514
E2F4,MKI67,1,0.23618525113546282
AR,MMP2,1,-0.06011585378971598
ESR1,MMP2,1,-0.18415397878472328
EZH2,MMP2,1,-0.24616711512695594
FOXM1,MMP2,1,-0.3055215950160545
HTATIP2,MMP2,-1,-0.10341302189225206
NCOA3,MMP2,1,-0.03600130508290013
NCOR1,MMP2,1,-0.11576693720181562
PGR,MMP2,-1,0.008807920185121935
SMAD3,MMP2,1,-0.09472178808142931
SMAD4,MMP2,1,0.033773739518697644
TP53,MMP2,1,-0.013587716368911474
TWIST1,MMP2,1,0.5920800304349401
HIF1A,MMP2,1,0.17297395662970316
MYC,MTDH,1,0.22110920875694687
E2F1,MYBL2,1,0.06129636677983421
MYC,MYBL2,1,-0.015310628657255226
NCOR1,MYBL2,1,-0.06521624644558335
E2F4,MYBL2,-1,0.0025387066150354682
AR,MYC,1,-0.33637805869393916
BRCA1,MYC,1,-0.0735692682665373
E2F1,MYC,1,-0.04814514442096877
ESR1,MYC,1,-0.22601759645715794
EZH2,MYC,-1,0.1281775122956634
FOXA1,MYC,1,-0.27126880453721014
FOXM1,MYC,1,0.06445296800472398
GATA3,MYC,1,-0.17878328626092466
HOXB13,MYC,-1,-0.07000709004613027
HTATIP2,MYC,1,0.26238269637896994
MYBL2,MYC,1,-0.015310628657255226
PGR,MYC,-1,-0.06254780449194322
RB1,MYC,-1,0.24781101161436087
RUNX1,MYC,-1,-0.2846055319662771
SMAD3,MYC,-1,-0.11974369951856446
SMAD4,MYC,-1,0.2948660615755354
TP53,MYC,-1,0.12219119142469105
HIF1A,MYC,-1,0.2916343518029367
E2F4,MYC,-1,0.23737205671619674
EP300,MYC,-1,0.20251996593326269
AR,NCOA3,1,0.059951193818452354
E2F1,NCOA3,1,0.001366482824701347
ESR1,NCOA3,1,-0.10790662934863995
GATA3,NCOA3,1,-0.21344852555901273
NCOR1,NCOA3,1,-0.2880330825907181
AR,NCOR1,1,0.19102826081654886
ESR1,NCOR1,1,0.3110890402473849
AR,NDRG1,1,-0.28231921000343
MYC,NDRG1,-1,0.24012745625494838
TP53,NDRG1,1,-0.12564687249983106
HIF1A,NDRG1,1,0.17215999249693006
TP53,NEK2,-1,-0.041809051541401486
E2F4,NEK2,1,0.055326929510915
