tf,target,edge_sign,is_edge,null,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
RUNX1,TBC1D20,0,0,permute_graph,0.0026448100908209493,0.002554034412748874,0.0027279689708741613,0.014705882352941176,748,0.44602137873298375
RUNX1,ARID1A,0,0,permute_graph,0.002244225345965336,0.002165291948106394,0.00232444044027632,0.026737967914438502,748,0.5221202667634905
RUNX1,ID4,0,0,permute_graph,0.0016253484578623901,0.0015312594249390096,0.0017106859144462537,0.07754010695187166,748,0.27175599436937253
RUNX1,ADAMTS12,0,0,permute_graph,0.004023778033500899,0.003925470801871543,0.00412769517863797,0.0,748,0.5325172805914905
RUNX1,CD40,0,0,permute_graph,0.000987628324217962,0.0009019896835184187,0.0010707277916608391,0.16176470588235295,748,0.05949134506642615
RUNX1,CST1,0,0,permute_graph,0.0028504935409060274,0.0027769997396202154,0.0029283517106312097,0.004010695187165776,748,0.10892004030748156
RUNX1,TUBB2A,0,0,permute_graph,0.0014592370762508001,0.0013807562781913275,0.0015369023383307021,0.0855614973262032,748,0.10394266928705949
RUNX1,RUNDC1,0,0,permute_graph,0.0016039421624601984,0.0015204783433597176,0.0016905249923707517,0.09491978609625669,748,0.35253469238136226
RUNX1,CCNE2,0,0,permute_graph,-0.00012208120337124623,-0.00018377485961251623,-6.0581739034432936e-05,0.5521390374331551,748,0.06309890129331218
RUNX1,RIN2,0,0,permute_graph,0.004145767634365968,0.004033445708945257,0.004264292046940287,0.004010695187165776,748,0.5486959726413417
RUNX1,RSL1D1,0,0,permute_graph,0.002031312477168978,0.0019528763948841378,0.002106079411143628,0.029411764705882353,748,0.230752013573238
RUNX1,GSTP1,0,0,permute_graph,-0.0007323552124740124,-0.0007948557808594735,-0.0006744612368764168,0.8128342245989305,748,-0.04308348105085356
SMAD3,AR,1,1,permute_graph,0.00397469841803751,0.0038655548120488576,0.004069668615361178,0.001336898395721925,748,0.37513859135691435
SMAD3,BBC3,1,1,permute_graph,0.00012135025123781741,4.2369784351519214e-05,0.00019559385614808356,0.5187165775401069,748,0.0354034462131416
SMAD3,BCL2,-1,1,permute_graph,0.005629794505290328,0.005476732469028327,0.005777344898522647,0.0,748,0.5306426116469234
SMAD3,BIRC5,1,1,permute_graph,-2.9512348920172636e-05,-9.303977301799856e-05,3.7579011539771316e-05,0.5334224598930482,748,-0.18507366023408847
SMAD3,CCND1,1,1,permute_graph,0.004844211003807028,0.004728796067931412,0.004947947662501347,0.0,748,0.5007452326315464
SMAD3,CDH1,-1,1,permute_graph,0.0020286170424189615,0.0019683917048530413,0.002090200380772459,0.00267379679144385,748,0.1745148131418888
SMAD3,CDKN1B,1,1,permute_graph,0.004811134217713699,0.0046773067977764595,0.004963655062533422,0.0,748,0.38205658859135877
SMAD3,CDKN2A,1,1,permute_graph,-0.0007291191027195935,-0.0008054614742940175,-0.0006515283453541371,0.7754010695187166,748,-0.2388470690032152
SMAD3,ESR1,-1,1,permute_graph,0.007471896223798594,0.007286822523324296,0.007648049686183953,0.0,748,0.43335043120440897
SMAD3,F12,1,1,permute_graph,-0.0004673704850269932,-0.0005451130822783169,-0.00038320410654173767,0.696524064171123,748,-0.1941303980621228
SMAD3,MDM2,1,1,permute_graph,0.005664877664321061,0.005537232696549775,0.005783870665921162,0.0,748,0.4926169805100684
SMAD3,MMP2,1,1,permute_graph,0.00040049846732321447,0.00034472881254794807,0.0004509785989176544,0.28609625668449196,748,0.20990574321876437
SMAD3,MMP9,1,1,permute_graph,-0.0005725644024191905,-0.0006423959909901332,-0.0005032577256920264,0.7540106951871658,748,-0.0710460269929593
SMAD3,MYC,-1,1,permute_graph,0.0036569959368247954,0.0035688599716689777,0.003746133928390347,0.001336898395721925,748,0.07815071857939315
SMAD3,NOTCH3,1,1,permute_graph,0.0006698009657213686,0.0005936642118552026,0.0007407226664445378,0.2179144385026738,748,0.27290711343483437
SMAD3,PLAU,1,1,permute_graph,-0.0009483451755807043,-0.0010116016984066001,-0.0008811725065159438,0.8770053475935828,748,0.018567204138516324
SMAD3,SERPINB5,1,1,permute_graph,-0.0001771888798584174,-0.00025109502498090375,-9.568248057834338e-05,0.5427807486631016,748,0.005932027407607662
SMAD3,SERPINE1,1,1,permute_graph,0.0007887392039219853,0.0007423456347051088,0.0008393983857697053,0.09759358288770054,748,0.24516841775762005
SMAD3,TGFB1,1,1,permute_graph,0.0005377021521900968,0.0004622241892673854,0.0006073128026708841,0.2887700534759358,748,0.20526609415081984
SMAD3,VEGFA,1,1,permute_graph,0.0021719736616092333,0.0020952159455402985,0.0022496472094593978,0.013368983957219251,748,0.06530191075519172
SMAD3,COL1A2,1,1,permute_graph,0.00011848419487190844,6.249399186293063e-05,0.0001726109287020904,0.42914438502673796,748,0.24798568125697423
SMAD3,ELN,1,1,permute_graph,-0.0002648275317341992,-0.00033034680540085714,-0.00019746865219840706,0.6377005347593583,748,0.16945022473679155
