gene,arrow,injected_value,mean_pred,sem_pred
BUB1B,methy->rna,0.5,-0.05868345499038696,0.03462021468017324
BUB1B,methy->rna,1.0,-0.08364029973745346,0.03451143402259012
BUB1B,methy->rna,1.5,-0.10619107633829117,0.03431538736566927
BUB1B,methy->rna,2.0,-0.12270955741405487,0.0341338552573621
CA12,methy->rna,-2.0,0.2076573520898819,0.030446992098638163
CA12,methy->rna,-1.5,0.18756958842277527,0.030311969747382757
CA12,methy->rna,-1.0,0.1533336192369461,0.030009687927290314
CA12,methy->rna,-0.5,0.08882055431604385,0.02929374365106943
CA12,methy->rna,0.0,-0.005501692183315754,0.027683286922169547
CA12,methy->rna,0.5,-0.028486985713243484,0.028751919474171456
CA12,methy->rna,1.0,-0.11267612129449844,0.028905111163533816
CA12,methy->rna,1.5,-0.17482775449752808,0.02877076441439106
CA12,methy->rna,2.0,-0.21680307388305664,0.028613719613624945
CBFB,methy->rna,-2.0,0.17852455377578735,0.0253055706675506
CBFB,methy->rna,-1.5,0.15020142495632172,0.025249578507943564
CBFB,methy->rna,-1.0,0.10497535020112991,0.025010931868777706
CBFB,methy->rna,-0.5,0.03194483742117882,0.024073570986625173
CBFB,methy->rna,0.0,0.003337153699249029,0.024173407543981482
CBFB,methy->rna,0.5,-0.041445303708314896,0.024063478362806857
CBFB,methy->rna,1.0,-0.10959910601377487,0.02450868054078774
CBFB,methy->rna,1.5,-0.17714299261569977,0.024704424266438724
CBFB,methy->rna,2.0,-0.2313099056482315,0.024768584673523854
CCNB1,methy->rna,-2.0,0.07400918751955032,0.03504609463773236
CCNB1,methy->rna,-1.5,0.05733330547809601,0.034969150095186585
CCNB1,methy->rna,-1.0,0.03113570623099804,0.03479383134695414
CCNB1,methy->rna,-0.5,-0.009305374696850777,0.03439838835425069
CCNB1,methy->rna,0.0,-0.03066716156899929,0.034644416491337655
CCNB1,methy->rna,0.5,-0.03199143707752228,0.033942829849691394
CCNB1,methy->rna,1.0,-0.04600168764591217,0.0345218579093798
CCNB1,methy->rna,1.5,-0.06238371133804321,0.03486046750887788
CCNB1,methy->rna,2.0,-0.0762907937169075,0.03500437511759545
CCNB2,methy->rna,-2.0,0.0462169274687767,0.037718216499427255
CCNB2,methy->rna,-1.5,0.03219662234187126,0.03753981831317812
CCNB2,methy->rna,-1.0,0.011153874918818474,0.03722456929124612
CCNB2,methy->rna,-0.5,-0.017977340146899223,0.036683486097310404
CCNB2,methy->rna,0.0,-0.029306866228580475,0.03701823168859646
CCNB2,methy->rna,0.5,-0.03924732282757759,0.03573875025532173
CCNB2,methy->rna,1.0,-0.0497668981552124,0.035960713881028464
CCNB2,methy->rna,1.5,-0.06072236970067024,0.03619631595196409
CCNB2,methy->rna,2.0,-0.06996621191501617,0.036339632953673505
CCND1,methy->rna,-2.0,0.18456284701824188,0.0291694655527668
CCND1,methy->rna,-1.5,0.1597421020269394,0.02910995372408903
CCND1,methy->rna,-1.0,0.11853182315826416,0.02892600688306956
CCND1,methy->rna,-0.5,0.04601036012172699,0.028324326538352526
CCND1,methy->rna,0.0,-0.021209772676229477,0.026643391432933414
CCND1,methy->rna,0.5,-0.09028340876102448,0.02672598052216229
CCND1,methy->rna,1.0,-0.1668442040681839,0.026795458571682463
CCND1,methy->rna,1.5,-0.2154330462217331,0.026721767816085675
CCND1,methy->rna,2.0,-0.24595585465431213,0.02663219387275667
CCNE2,methy->rna,-2.0,0.052206672728061676,0.03484357091797669
CCNE2,methy->rna,-1.5,0.038824569433927536,0.03479206388465299
CCNE2,methy->rna,-1.0,0.01867196336388588,0.0346955312395637
CCNE2,methy->rna,-0.5,-0.010173909366130829,0.03450058080155466
CCNE2,methy->rna,0.0,-0.024747507646679878,0.035041167101033326
CCNE2,methy->rna,0.5,-0.04544942453503609,0.03438369291861975
CCNE2,methy->rna,1.0,-0.05995142459869385,0.03472738261013262
CCNE2,methy->rna,1.5,-0.07252099364995956,0.03481300755014511
CCNE2,methy->rna,2.0,-0.0824858620762825,0.03480912828640151
CD44,methy->rna,-2.0,0.2246638387441635,0.01998986350565445
CD44,methy->rna,-1.5,0.19414909183979034,0.019932291308848476
CD44,methy->rna,-1.0,0.14248843491077423,0.019757223187206206
CD44,methy->rna,-0.5,0.04993226006627083,0.019207762527073645
CD44,methy->rna,0.0,-0.002418125281110406,0.018939108257297898
CD44,methy->rna,0.5,-0.07973859459161758,0.01870352580061715
CD44,methy->rna,1.0,-0.1491410881280899,0.019339579037336446
CD44,methy->rna,1.5,-0.20086531341075897,0.01974129859160257
CD44,methy->rna,2.0,-0.23703084886074066,0.019945766301953344
CDC20,methy->rna,-2.0,0.09075997769832611,0.03740792334589578
CDC20,methy->rna,-1.5,0.0741983950138092,0.03710830906446748
CDC20,methy->rna,-1.0,0.04782053455710411,0.0365606049698278
CDC20,methy->rna,-0.5,0.006603481248021126,0.035487371785374915
CDC20,methy->rna,0.0,-0.02091151289641857,0.03581135786817662
CDC20,methy->rna,0.5,-0.04226359352469444,0.034721677041323215
CDC20,methy->rna,1.0,-0.067202128469944,0.03491329959408704
CDC20,methy->rna,1.5,-0.08634497970342636,0.035105209822589155
CDC20,methy->rna,2.0,-0.10018094629049301,0.03521677352500406
CDC6,methy->rna,-2.0,0.08569105714559555,0.03349928616592898
CDC6,methy->rna,-1.5,0.061049431562423706,0.03335721793844714
CDC6,methy->rna,-1.0,0.020167147740721703,0.03305589939620564
CDC6,methy->rna,-0.5,-0.04911743849515915,0.0323379239549235
CDC6,methy->rna,0.0,-0.09213948249816895,0.03241466799619713
CDC6,methy->rna,0.5,-0.11060392111539841,0.03172116460692447
CDC6,methy->rna,1.0,-0.13042376935482025,0.03213951051124672
CDC6,methy->rna,1.5,-0.14954063296318054,0.032323147882911366
CDC6,methy->rna,2.0,-0.16447342932224274,0.03235874993488632
CDCA7,methy->rna,-2.0,0.27823343873023987,0.029427735164262635
CDCA7,methy->rna,-1.5,0.24643492698669434,0.029252165789440013
CDCA7,methy->rna,-1.0,0.19176240265369415,0.028827262185901755
CDCA7,methy->rna,-0.5,0.0948747918009758,0.02752693297904766
CDCA7,methy->rna,0.0,0.028265319764614105,0.027419279051439503
CDCA7,methy->rna,0.5,-0.009644054807722569,0.026221120498272837
CDCA7,methy->rna,1.0,-0.07186318188905716,0.026127052711213888
CDCA7,methy->rna,1.5,-0.12171495705842972,0.026247734862787902
CDCA7,methy->rna,2.0,-0.15887482464313507,0.026339414069474387
CDH1,methy->rna,-2.0,0.29816141724586487,0.018093830853418612
CDH1,methy->rna,-1.5,0.2671961188316345,0.017877340694505164
CDH1,methy->rna,-1.0,0.21405480802059174,0.017431067360271484
CDH1,methy->rna,-0.5,0.11578603833913803,0.016300923415274525
CDH1,methy->rna,0.0,0.018504226580262184,0.014719633083386198
CDH1,methy->rna,0.5,-0.03962715342640877,0.01526360937991721
CDH1,methy->rna,1.0,-0.1186436340212822,0.015859307376894817
CDH1,methy->rna,1.5,-0.17633773386478424,0.01631704960183113
CDH1,methy->rna,2.0,-0.21601556241512299,0.016607122637939505
CDH3,methy->rna,-2.0,0.1987302601337433,0.02790827332248997
CDH3,methy->rna,-1.5,0.1662275195121765,0.028212113386164816
CDH3,methy->rna,-1.0,0.11404704302549362,0.02860123405071086
CDH3,methy->rna,-0.5,0.03001130372285843,0.028887305778823032
CDH3,methy->rna,0.0,-0.01577039621770382,0.02800175486126407
CDH3,methy->rna,0.5,-0.04303344339132309,0.027695480450622038
CDH3,methy->rna,1.0,-0.08973245322704315,0.028475441296058904
CDH3,methy->rna,1.5,-0.12964031100273132,0.02872534651752781
CDH3,methy->rna,2.0,-0.16027620434761047,0.028752969926488542
CDK4,methy->rna,-2.0,0.32439664006233215,0.02286013292890437
CDK4,methy->rna,-1.5,0.291119247674942,0.022761824104067307
CDK4,methy->rna,-1.0,0.232504203915596,0.02250521080742829
CDK4,methy->rna,-0.5,0.12012417614459991,0.02174956945868514
CDK4,methy->rna,0.0,0.019090134650468826,0.02148693022707362
CDK4,methy->rna,0.5,0.0034290750045329332,0.022398570282989107
CDK4,methy->rna,1.0,-0.135787233710289,0.02298372234892443
CDK4,methy->rna,1.5,-0.25383850932121277,0.02296948239987911
CDK4,methy->rna,2.0,-0.3280690908432007,0.022779078110279703
CDK6,methy->rna,-2.0,0.17930935323238373,0.023269530374276502
CDK6,methy->rna,-1.5,0.14180953800678253,0.02329758529684467
CDK6,methy->rna,-1.0,0.0793396532535553,0.02324152121830306
CDK6,methy->rna,-0.5,-0.028732439503073692,0.02282946713107506
CDK6,methy->rna,0.0,-0.12730102241039276,0.0228918426409658
CDK6,methy->rna,0.5,-0.17211517691612244,0.022280165564343216
CDK6,methy->rna,1.0,-0.25350692868232727,0.02252941043923105
CDK6,methy->rna,1.5,-0.31185632944107056,0.022737417432907445
CDK6,methy->rna,2.0,-0.3523150384426117,0.022852529136094583
CDKN1B,methy->rna,-2.0,0.45895394682884216,0.023889669912200432
CDKN1B,methy->rna,-1.5,0.41918322443962097,0.023965784117956142
