gene,arrow,slope,slope_lo,slope_hi,frac_patients_neg,rho,rho_lo,rho_hi,Delta,n,rho_obs,rho_minus_obs,curated_flag
CDC6,methy->rna,-0.06650321577703033,-0.06992197588906121,-0.06310479135581135,0.9318181818181818,-0.10043324619875911,-0.10976157823126163,-0.09322003574574132,-0.2037818282842636,748,-0.18795581271210243,0.08752256651334332,0
CDCA7,methy->rna,-0.11615509171853981,-0.12000436994512342,-0.1122556690422832,0.9919786096256684,-0.21814326359589994,-0.23543968910197088,-0.2034259378722076,-0.3562946021556854,748,-0.7061259568324196,0.48798269323651966,0
CDH1,methy->rna,-0.14027064371432402,-0.1441359026568013,-0.13609055943252127,1.0,-0.38870187786341626,-0.4108157300588695,-0.36741055782164994,-0.43013638257980347,748,-0.3793342909632145,-0.00936758690020173,1
CDH3,methy->rna,-0.09347443617531721,-0.09741391609229562,-0.08993332911077548,0.9786096256684492,-0.15756501539305037,-0.1705053946018712,-0.14771626888018494,-0.28621792793273926,748,0.009851848939921956,-0.16741686433297231,0
CDK4,methy->rna,-0.16993380285967175,-0.17561518066695,-0.1645721118702811,1.0,-0.3574148527303392,-0.38031145974577063,-0.3371759920544488,-0.5219049453735352,748,-0.04979718392357404,-0.30761766880676517,0
CDK6,methy->rna,-0.14321903682416784,-0.14760571194616243,-0.13827277780057587,1.0,-0.28166274207651343,-0.2998042341163779,-0.2657364772830269,-0.439378947019577,748,-0.576449140291475,0.29478639821496155,0
CDKN1B,methy->rna,-0.2018386935300166,-0.2067274330564745,-0.19673112811979926,1.0,-0.4025587542973962,-0.4249076752768972,-0.38165132948163005,-0.6203067302703857,748,-0.3373070184968686,-0.06525173580052757,0
CDKN2A,methy->rna,-0.07798513159286165,-0.0811063782927566,-0.07500909962188665,0.9679144385026738,-0.19657516421389803,-0.2137006823183551,-0.1803267986397058,-0.23817899823188782,748,-0.12105421924812863,-0.0755209449657694,1
CDKN3,methy->rna,-0.06780950275806746,-0.07119251054276898,-0.06444544478251936,0.9090909090909091,-0.10127911670822086,-0.11184300877315184,-0.09363860787457545,-0.2078218162059784,748,-0.008666811414115022,-0.09261230529410584,0
CENPA,methy->rna,-0.08161443132644025,-0.08525206777995845,-0.0782433556238056,0.9438502673796791,-0.11530446859730026,-0.1262224997963193,-0.10737413018408457,-0.2501685917377472,748,-0.055423825772951796,-0.05988064282434846,0
CENPF,methy->rna,-0.03639315072585681,-0.03830463768437268,-0.03425270676234971,0.9264705882352942,-0.053434723287189484,-0.059493948705655365,-0.049575290527211116,-0.11156292259693146,748,-0.11724362591050894,0.06380890262331945,0
CEP55,methy->rna,-0.05282128263740516,-0.05591056919082296,-0.049783387705306034,0.893048128342246,-0.08114052753265363,-0.09033441005736813,-0.07474617044486496,-0.16121244430541992,748,-0.4400098730672307,0.35886934553457706,0
CHEK1,methy->rna,-0.0794618141285846,-0.08213787259435018,-0.07670269286293627,0.9692513368983957,-0.11706583784700997,-0.12690577348434987,-0.11033026508782741,-0.24397587776184082,748,-0.2514458281495645,0.13437999030255454,0
CHEK2,methy->rna,-0.04464255977457691,-0.04788161617126224,-0.041217884871168245,0.8475935828877005,-0.07729544762473425,-0.08592057050045629,-0.06985112947571542,-0.13557077944278717,748,-0.04198875052968491,-0.03530669709504934,0
