tf,target,edge_sign,is_edge,null,mask_mode,n_targets_of_tf,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
ESR1,CDC6,0,0,real,rna_only,73,-0.00155576864110535,-0.001663113124461084,-0.001451103356277773,0.8863636363636364,748,-0.1451942745270405
ESR1,PTTG1,0,0,real,rna_only,73,-0.002566644294376679,-0.002727257296879388,-0.002401093806769098,0.8863636363636364,748,-0.30132877382458445
ESR1,ZNF880,0,0,real,rna_only,73,-0.00016859828908686979,-0.000291143662279426,-4.044052829954256e-05,0.5748663101604278,748,0.10650353716690612
ESR1,YWHAZ,0,0,real,rna_only,73,0.0005329783001512875,0.0003185107023486339,0.0007321663797561602,0.32887700534759357,748,-0.017575940511222042
ESR1,GIMAP4,0,0,real,rna_only,73,-0.0020556731418077314,-0.0022019777372788646,-0.0019100549803233733,0.8542780748663101,748,-0.07288352536885886
ESR1,VWF,0,0,real,rna_only,73,-0.0026470244480728605,-0.002784897928474158,-0.0025146350240073,0.9358288770053476,748,0.09432849376077161
ESR1,FMOD,0,0,real,rna_only,73,8.790869155397278e-05,-5.862816697905332e-05,0.00022761075878424388,0.47192513368983957,748,0.21124223302038464
ESR1,DLGAP5,0,0,real,rna_only,73,-0.0018609728660424522,-0.00200104523986871,-0.0017337637553176194,0.8409090909090909,748,-0.23428258201766747
ESR1,CHAD,0,0,real,rna_only,73,0.005163654986289189,0.004972404591252972,0.005369079922620163,0.02406417112299465,748,0.4722447221774064
ESR1,FGF3,0,0,real,rna_only,73,-0.002219025108261024,-0.0023328713055948253,-0.002105135719714987,0.9572192513368984,748,0.0587871108414167
ESR1,SSR3,0,0,real,rna_only,73,0.0016957246697194045,0.0015682072315548526,0.0018231888232879687,0.16443850267379678,748,0.13098334091597966
ESR1,SCGB3A1,0,0,real,rna_only,73,-0.003748982565796231,-0.003946600665238523,-0.0035369963499152137,0.9318181818181818,748,-0.06449909060794058
ESR1,S100A16,0,0,real,rna_only,73,-0.00111947799132184,-0.001288120635807367,-0.0009729823770886384,0.7125668449197861,748,-0.10499219699958885
ESR1,WFDC2,0,0,real,rna_only,73,-0.0009439922967567085,-0.0011059521509474732,-0.0007723900530295975,0.660427807486631,748,0.23064724309694057
ESR1,AZGP1,0,0,real,rna_only,73,0.00447337751022794,0.004292416856210196,0.004686143769395585,0.02807486631016043,748,0.34498706792499884
ESR1,MNDA,0,0,real,rna_only,73,-0.0007983291515027992,-0.0009462585581264027,-0.0006624186696520393,0.6671122994652406,748,-0.0689903690570337
ESR1,PRRX1,0,0,real,rna_only,73,-0.004628792694734937,-0.0048162339342722365,-0.004464107304620565,0.963903743315508,748,-0.049811635251801635
ESR1,MCM6,0,0,real,rna_only,73,-0.0018378799416393745,-0.0020097964872674975,-0.001672422206431871,0.7540106951871658,748,-0.19455774587721922
ESR1,CRNKL1,0,0,real,rna_only,73,0.011163843686712338,0.010931214314186944,0.01141198300475644,0.0,748,0.5437829798162828
ESR1,KRT23,0,0,real,rna_only,73,-0.004300788816881372,-0.004496291723113123,-0.004118852398679724,0.9652406417112299,748,-0.2511461638017338
ESR1,TPD52,0,0,real,rna_only,73,0.00161241221228372,0.0014573296433860027,0.0017605013014319537,0.15775401069518716,748,0.3227629609131427
ESR1,TOP2A,0,0,real,rna_only,73,0.0002289061433736916,0.00011433010659829544,0.0003386941612268586,0.39438502673796794,748,-0.011336980974740368
ESR1,COL14A1,0,0,real,rna_only,73,-0.00282510116014882,-0.0029888826756667166,-0.0026705934278658246,0.9224598930481284,748,0.11056410157597754
ESR1,AURKB,0,0,real,rna_only,73,-0.0016608340593068194,-0.0018231221686848655,-0.0015028963621050862,0.7914438502673797,748,-0.3967657181921606
ESR1,GCC1,0,0,real,rna_only,73,0.002519152885918804,0.00234238871473258,0.00269367509442585,0.1483957219251337,748,0.27811515624215744
ESR1,LRP5,0,0,real,rna_only,73,0.008839975802083424,0.008560906467060127,0.009110694795402026,0.0053475935828877,748,0.07602723352804491
ESR1,CPXM1,0,0,real,rna_only,73,-0.003833172857676719,-0.004019809112430273,-0.003674728473376171,0.9438502673796791,748,-0.18557076739448888
ESR1,TSPAN14,0,0,real,rna_only,73,-0.0035204225861834313,-0.0036820186374021315,-0.0033571005307265396,0.9866310160427807,748,-0.028232676821534724
ESR1,MRPL36,0,0,real,rna_only,73,-0.0018517428113449745,-0.0020470811692599785,-0.0016532761306921528,0.7834224598930482,748,-0.09740625324455973
ESR1,SELENBP1,0,0,real,rna_only,73,0.00801350984140507,0.007800534816247988,0.008233858907833711,0.001336898395721925,748,0.4358825963772412
ESR1,CST1,0,0,real,rna_only,73,0.0012034473185379342,0.001097913539900781,0.001317476429942282,0.19786096256684493,748,0.1253964182045288
ESR1,SLC30A1,0,0,real,rna_only,73,0.005058182265489974,0.004873275389748959,0.005244566613465667,0.02406417112299465,748,0.4036653098761897
EZH2,AKT1,1,1,real,rna_only,28,0.0031322844670139227,0.002901931728466512,0.003354913620538671,0.11764705882352941,748,0.10316915047436914
EZH2,APC,-1,1,real,rna_only,28,-0.004050218133540548,-0.00417511465537323,-0.00392625902027318,0.9933155080213903,748,-0.08093916544210297
EZH2,AR,1,1,real,rna_only,28,-0.00026559766420161744,-0.0003793002120837591,-0.0001501452404160716,0.5133689839572193,748,-0.27811283171362927
EZH2,BCL2,1,1,real,rna_only,28,-0.00035539634796374095,-0.0004626780138514962,-0.00022978141407088785,0.5802139037433155,748,-0.28474220654593996
EZH2,BRCA1,1,1,real,rna_only,28,0.005307055285877805,0.005110362646662392,0.00549417084662029,0.004010695187165776,748,0.4192282811352566
