tf,target,edge_sign,coexpr__pooled,coexpr__ER_IHC=Negative,coexpr__ER_IHC=Positve
HIF1A,BIRC5,1,0.03385082339978923,-0.13957052677428103,-0.06323418606398042
E2F4,BIRC5,-1,0.26419545246726805,0.24943603970417205,0.07385267194484355
EP300,BIRC5,-1,-0.15033723098971566,-0.15921923765712176,-0.15390859411439886
DNMT3A,BRCA1,1,-0.1091351917569719,-0.08673879281109094,-0.11698175964666517
DNMT3B,BRCA1,1,0.22970001552094135,0.25146145315224916,0.2670930767630223
E2F1,BRCA1,1,0.08127450249127233,0.014199486365913193,0.10772862631444641
ESR1,BRCA1,1,0.16929922747952966,-0.09624607191316271,0.22482996080310624
EZH2,BRCA1,1,0.24922112584608963,0.1578839137895285,0.3312911391202514
FOXA1,BRCA1,1,0.15845187046711423,0.01704072206122888,0.180547024191438
MYC,BRCA1,1,-0.0735692682665373,0.02764908249796446,-0.08726719720870461
NCOA3,BRCA1,1,0.13828676404422463,0.05845375301913532,0.17977874099927638
RB1,BRCA1,-1,-0.11565416570654036,-0.12835138040237057,-0.11447594594633274
TP53,BRCA1,-1,-0.016483996209051832,0.013455879835435317,-0.02740814015854166
TOX3,BRCA1,-1,0.03777112291200079,-0.014355283852012415,0.029470684342950276
CTBP1,BRCA1,-1,-0.02668057642552114,-0.006849710217051671,-0.03605077284547901
HIF1A,BRCA1,1,-0.14065611975368303,-0.0539202654780995,-0.1500809437422653
E2F4,BRCA1,-1,-0.1157763610504189,0.020646524465075995,-0.14487148486071835
EP300,BRCA1,1,-0.11879050127898476,-0.05528456510351503,-0.14190235203869056
BRCA1,BRCA2,1,0.030412447226537125,0.02196367643275648,0.02871611956699253
ESR1,BRCA2,1,-0.11706557438785334,0.006758617368023731,-0.12277129445921789
FOXM1,BRCA2,1,0.11171433692866703,0.07427861837317831,0.08237221260952247
MYC,BRCA2,1,-0.10660342002537739,-0.1425457842666089,-0.10221427087616958
TP53,BRCA2,-1,-0.023754439467804443,-0.04743303419514867,-0.006310263158381678
CTBP1,BRCA2,-1,-0.10131574225805293,-0.0802400225322147,-0.09928834895895099
