tf,target,edge_sign,coexpr__pooled,coexpr__INTCLUST=1,coexpr__INTCLUST=10,coexpr__INTCLUST=2,coexpr__INTCLUST=3,coexpr__INTCLUST=4ER+,coexpr__INTCLUST=4ER-,coexpr__INTCLUST=5,coexpr__INTCLUST=6,coexpr__INTCLUST=7,coexpr__INTCLUST=8,coexpr__INTCLUST=9
MYC,NIT1,1,-0.3329366135488211,-0.18078055964653897,-0.21522365958537135,-0.2846960167714884,-0.2641980856569249,-0.28324676166968377,-0.5662905162064826,-0.21408463291478616,-0.22347964040190374,-0.315018047019803,-0.32066324291327375,-0.2684181262162914
AR,CCAR2,1,0.22064442769198817,-0.011387544708605089,0.20054961212150182,0.3032266672299754,0.22441913252757878,0.3705397361467965,0.053974885366946945,0.06135453182581966,0.190269698572184,0.17131520255988075,0.13742368864301016,0.1543836400329415
ESR1,CCAR2,1,0.1241882831287046,-0.011058804965285081,-0.0022364750060229342,0.24852770211683714,0.032447334611073395,0.1785355476843431,0.12134745135433712,0.13148293373939993,-0.03564251718667371,0.15974070790752767,0.05775979765208139,-0.11343275283311147
TP53,CCAR2,1,0.05039744111056154,0.018264780138859668,0.02872935832664908,0.08687034250372268,0.2020486061048079,-0.15770526057654075,-0.04994117507261995,-0.04623541318974225,-0.18852459016393439,-0.14237896592899807,0.061720751289148786,0.04272551831518814
E2F1,RNF2,1,0.041183705449049125,0.031348621922996,0.1884663723373401,0.043643987040213446,0.055921094924251,0.08747167016883517,-0.066890756302521,0.01981768622369185,-0.028133262823902695,0.07317822651448641,-0.00578263724455331,-0.14610323417662868
AR,BTG2,-1,0.22755409179743089,0.24787058131373851,0.19097032000257805,0.07688202782542404,0.007872757528375605,-0.06133636776354576,-0.0875390156062425,0.0045801918988722205,-0.018667371760973026,-0.10470198029460542,-0.15159891931712796,0.141729218793439
ESR1,BTG2,-1,0.358662970943677,0.10461190502076638,0.277035867358448,0.13382885458357155,-0.010817618226057125,-0.07209405161287727,0.31015606242496996,0.36006564196997526,0.12109994711792701,0.037371963710857485,-0.11701696155662622,0.4607357983504773
FOXM1,BTG2,1,-0.48142383656586235,-0.2743079183817105,-0.3263123972801392,-0.02176481799123308,-0.2812005235852645,-0.35167119669381613,-0.2675150060024009,-0.2241076724918424,-0.4250132205182442,-0.29930250707248074,-0.19630716471619145,-0.4260587526642573
TP53,BTG2,1,0.09513629411614305,-0.0241295764833268,0.0907157358770262,0.3299028016009148,-0.0887003062410397,0.13827568112550812,0.3023769507803121,0.1895640886145432,0.005817028027498677,0.19750268266510587,0.12516276944665072,-0.20949865628764713
HIF1A,BTG2,1,-0.07317787655249938,-0.001702877468441864,0.04773291224904128,0.0021726700971983984,0.10575845775014624,0.20421675736561198,-0.13066026410564224,-0.08448331525466111,-0.07493389740877841,0.3197590478977661,0.17878810518760926,-0.025762209248447784
