tf,target,edge_sign,coexpr__pooled,coexpr__CLAUDIN_SUBTYPE=Basal,coexpr__CLAUDIN_SUBTYPE=Her2,coexpr__CLAUDIN_SUBTYPE=LumA,coexpr__CLAUDIN_SUBTYPE=LumB,coexpr__CLAUDIN_SUBTYPE=Normal,coexpr__CLAUDIN_SUBTYPE=claudin-low
SMAD3,CDH1,-1,-0.12258495911455888,-0.1902700747528334,-0.22725134542555311,-0.11145271251031096,-0.11919982189994628,-0.11573074935286694,-0.22863359582089957
SMAD4,CDH1,-1,-0.056653256156423505,-0.039745639162506154,0.2713368831686551,-0.00602287353698397,-0.04229784853729876,0.011126081784786796,-0.1161697167848771
TBX3,CDH1,-1,0.05767455838734376,-0.07420431858809165,-0.05851198327061316,0.05957083314273263,0.03422003456040216,0.06748218157154608,0.005972759558759429
TP53,CDH1,1,0.043641163062055566,0.11861586689172897,0.14201201628747973,0.04435774543098172,-0.011552476674808793,0.1613193403298351,0.09290415969350826
TWIST1,CDH1,-1,-0.055091793627200465,0.048464753637167436,0.2451812409237165,-0.11594571178284713,0.0783652498544582,-0.0664167916041979,-0.33174120811253244
ZEB1,CDH1,-1,-0.046204093063982016,-0.01775580741097983,0.1543859449300948,-0.042136489557233994,0.004010485170137594,-0.16334365056382008,-0.13584131108315503
CTBP1,CDH1,-1,0.24209174447177978,0.2850896230206575,0.358189014493579,0.24961434245736983,0.2633065248930383,0.17049633078197746,0.12498259088698573
HIF1A,CDH1,-1,0.11704444558750637,0.27184309942930635,0.37733990147783253,0.07693134772539091,0.11953155561852956,0.14055077724295745,0.06496738502565133
E2F1,CDK4,1,-0.011071128541534471,0.0828614374310905,-0.2088966593425449,-0.011124414109153508,-0.07639829649663922,0.09179071795858744,0.030656126031173812
ESR1,CDK4,1,-0.33173008949884086,-0.12340697454876028,-0.09143706504926342,-0.3477099785713726,-0.3084702968073049,-0.09100557491651742,-0.21462941294112567
EZH2,CDK4,1,0.31990198103446216,0.40048991435864933,0.13351709056334604,0.14435331038588387,0.24400357278703083,0.09268454350605629,0.1888142543368966
MYC,CDK4,1,0.26124973000962587,0.24256789071770016,0.26402268870662887,0.28315374766854307,0.16244456313700423,0.1469914028912587,0.2779691201249213
RUNX1,CDK4,1,-0.2096729345316953,-0.19659290146028874,-0.11023744018238588,-0.024399531364034624,-0.1954756903564687,-0.07042445237262371,-0.1380884157660999
TP53,CDK4,-1,0.05310939749130508,0.09263762011818291,0.04610294201471164,0.04719872330906717,0.06303199828989108,0.048532887238709826,0.1205856331523382
ZEB1,CDK4,1,-0.0042514220952517435,-0.13584171626874544,0.016377552764027442,0.14660547757055742,0.11214217464676464,0.13371130746952078,-0.08805274123171589
AR,CDK6,1,-0.44915785521585716,-0.503886343541516,-0.13395711722998946,-0.3061112404449618,-0.2165372448398116,-0.24874930955574842,-0.5398331921577939
MYC,CDK6,1,0.3000760619906068,0.476734185354875,0.20895697485691503,0.21494245976983906,0.06064549713690786,0.22753886214787344,0.16234882611207127
RUNX1,CDK6,1,-0.05280368472627103,0.07391093351717169,-0.07677224882083386,0.10381090415823661,0.09599341688670682,0.08859421050416347,0.013865645027614847
TP53,CDK6,1,0.04250441754228898,0.12015513222409777,0.1322645861214727,-0.10215880863523455,0.05569522776906751,0.14497751124437783,0.1309507773026263
AR,CDKN1B,1,-0.07754238289984383,-0.14145983186631192,-0.2355580942271484,-0.18358720716101481,-0.1272934769551115,-0.24331255424919118,-0.04525009817632367
BRCA1,CDKN1B,1,0.026212245114266508,0.0006912634547703179,0.027886930592477675,-0.020118394887786946,0.0829003015564502,0.1232068176438097,-0.13106066832915425
E2F1,CDKN1B,1,0.003991384432198327,-4.621819610382939e-05,-0.0202671034295448,0.04330683338478954,0.009183764619635361,0.019064152134459087,-0.07295177036832806
ESR1,CDKN1B,-1,0.16037102783294985,-0.0035989908357373242,0.13162682970862905,-0.06956178558610812,-0.01866970173941703,0.1073542176280281,0.1059892051839799
